Date,x(m/s^2),y(m/s^2),z(m/s^2)
2014-03-09 13:07:07.949,-9.363098,1.2863708,2.6168735
2014-03-09 13:07:07.970,-6.3342705,0.9215809,7.4295416
2014-03-09 13:07:07.990,-3.6309829,1.1643996,9.034961
2014-03-09 13:07:08.010,-2.824527,1.0470078,9.332536
2014-03-09 13:07:08.030,-2.2636812,0.6576007,9.519124
2014-03-09 13:07:08.050,-1.6494917,0.14642587,9.665822
2014-03-09 13:07:08.070,-1.4386387,0.47071257,9.689126
2014-03-09 13:07:08.095,-1.0587828,0.962852,9.701663
2014-03-09 13:07:08.110,-0.32961628,1.5900131,9.671277
2014-03-09 13:07:08.132,0.18723296,2.1629903,9.563304
2014-03-09 13:07:08.153,0.5008233,2.8248518,9.377621
2014-03-09 13:07:08.173,0.7090958,3.2470806,9.226269
2014-03-09 13:07:08.191,0.8348985,3.4517362,9.141053
2014-03-09 13:07:08.210,0.9102366,3.3470929,9.172723
2014-03-09 13:07:08.231,0.85000515,3.3702793,9.1700115
2014-03-09 13:07:08.251,0.7353651,3.4727464,9.1416445
2014-03-09 13:07:08.271,0.6464168,3.6114423,9.094505
2014-03-09 13:07:08.291,0.621791,3.7031515,9.059274
2014-03-09 13:07:08.315,0.61994,3.680565,9.068601
2014-03-09 13:07:08.333,0.60012,3.6826715,9.069078
2014-03-09 13:07:08.351,0.5220831,3.7000675,9.066824
2014-03-09 13:07:08.371,0.3976682,3.777082,9.041344
2014-03-09 13:07:08.391,0.29011825,3.8102217,9.031525
2014-03-09 13:07:08.414,0.2361619,3.793539,9.040115
2014-03-09 13:07:08.431,0.24716158,3.7394216,9.062341
2014-03-09 13:07:08.450,0.29447746,3.7043836,9.075308
2014-03-09 13:07:08.471,0.33593088,3.718906,9.0679245
2014-03-09 13:07:08.499,0.34658262,3.812247,9.028678
2014-03-09 13:07:08.514,0.34331426,3.8775713,9.000941
2014-03-09 13:07:08.533,0.3403421,3.875637,9.001889
2014-03-09 13:07:08.550,0.33061758,3.8467076,9.014649
2014-03-09 13:07:08.574,0.32304683,3.856683,9.010659
2014-03-09 13:07:08.595,0.32040232,3.9048424,8.989992
2014-03-09 13:07:08.610,0.30480787,3.9732475,8.960511
2014-03-09 13:07:08.631,0.25424027,4.007394,8.946872
2014-03-09 13:07:08.649,0.176224,3.9840357,8.959174
2014-03-09 13:07:08.669,0.09667306,3.9452848,8.977515
2014-03-09 13:07:08.690,0.047052696,3.9519181,8.974994
2014-03-09 13:07:08.716,0.025207214,3.9929614,8.956898
2014-03-09 13:07:08.730,0.026977586,4.030072,8.940255
2014-03-09 13:07:08.749,0.036482494,4.0021863,8.952741
2014-03-09 13:07:08.769,0.052408233,3.9664738,8.96854
2014-03-09 13:07:08.789,0.06749021,3.9279146,8.985394
2014-03-09 13:07:08.809,0.065113254,3.932771,8.983289
2014-03-09 13:07:08.829,0.07726415,3.9897273,8.95804
2014-03-09 13:07:08.851,0.10609993,4.0392656,8.935518
2014-03-09 13:07:08.871,0.13671733,4.0494275,8.930498
2014-03-09 13:07:08.892,0.15821984,4.015189,8.94559
2014-03-09 13:07:08.912,0.17928076,3.9670703,8.966638
2014-03-09 13:07:08.932,0.19140549,3.9417033,8.977567
2014-03-09 13:07:08.949,0.19366905,3.9584045,8.970168
2014-03-09 13:07:08.969,0.18013445,3.9997191,8.952105
2014-03-09 13:07:08.989,0.14984088,4.021208,8.943032
2014-03-09 13:07:09.011,0.12096637,4.022826,8.94274
2014-03-09 13:07:09.030,0.110815704,4.0351524,8.937318
2014-03-09 13:07:09.049,0.11487273,4.075998,8.918713
2014-03-09 13:07:09.069,0.12001228,4.130913,8.893343
2014-03-09 13:07:09.089,0.10964082,4.1721444,8.8742075
2014-03-09 13:07:09.110,0.102844,4.1969438,8.862588
2014-03-09 13:07:09.129,0.11809403,4.2169123,8.852915
2014-03-09 13:07:09.151,0.14407954,4.2434382,8.839845
2014-03-09 13:07:09.171,0.16600962,4.272525,8.8254385
2014-03-09 13:07:09.193,0.17515841,4.295665,8.814021
2014-03-09 13:07:09.212,0.17633915,4.309411,8.807285
2014-03-09 13:07:09.232,0.17546266,4.3284764,8.797948
2014-03-09 13:07:09.254,0.18046193,4.3663797,8.779097
2014-03-09 13:07:09.273,0.198577,4.4148684,8.754421
2014-03-09 13:07:09.294,0.22151816,4.466367,8.727708
2014-03-09 13:07:09.314,0.22638899,4.50701,8.706664
2014-03-09 13:07:09.352,0.21748862,4.538469,8.690533
2014-03-09 13:07:09.361,0.20721681,4.5675287,8.675549
2014-03-09 13:07:09.373,0.2087487,4.596945,8.659961
2014-03-09 13:07:09.407,0.22129488,4.623947,8.645262
2014-03-09 13:07:09.425,0.22875191,4.6370773,8.638031
2014-03-09 13:07:09.430,0.23446606,4.6460643,8.633047
2014-03-09 13:07:09.450,0.2347985,4.6544967,8.628494
2014-03-09 13:07:09.470,0.24674846,4.6688886,8.620381
2014-03-09 13:07:09.494,0.2698473,4.704058,8.600547
2014-03-09 13:07:09.512,0.27424714,4.741475,8.579835
2014-03-09 13:07:09.530,0.2670574,4.778385,8.559561
2014-03-09 13:07:09.551,0.26513284,4.8035865,8.545506
2014-03-09 13:07:09.570,0.2776596,4.8126206,8.54002
2014-03-09 13:07:09.597,0.29802653,4.824131,8.53284
2014-03-09 13:07:09.614,0.30170727,4.836091,8.525934
2014-03-09 13:07:09.634,0.2862376,4.8394685,8.52455
2014-03-09 13:07:09.651,0.26279184,4.8308105,8.530215
2014-03-09 13:07:09.674,0.2531633,4.818629,8.537395
2014-03-09 13:07:09.699,0.25956848,4.8173003,8.537952
2014-03-09 13:07:09.714,0.26271,4.828136,8.5317335
2014-03-09 13:07:09.731,0.26231033,4.8443737,8.522535
2014-03-09 13:07:09.762,0.2666171,4.846529,8.521178
2014-03-09 13:07:09.802,0.27404535,4.837261,8.526206
2014-03-09 13:07:09.806,0.2868718,4.8297853,8.530023
2014-03-09 13:07:09.823,0.29791066,4.8339114,8.527306
2014-03-09 13:07:09.840,0.313289,4.8262095,8.531116
2014-03-09 13:07:09.863,0.3332187,4.806221,8.541639
2014-03-09 13:07:09.882,0.3514077,4.7959065,8.546708
2014-03-09 13:07:09.901,0.3605138,4.803075,8.542299
2014-03-09 13:07:09.927,0.36271557,4.820354,8.532469
2014-03-09 13:07:09.943,0.37340808,4.8298163,8.526653
2014-03-09 13:07:09.961,0.3922586,4.839174,8.520499
2014-03-09 13:07:09.981,0.40558732,4.8539696,8.511455
2014-03-09 13:07:10.005,0.41147405,4.861534,8.506853
2014-03-09 13:07:10.023,0.41391456,4.8616867,8.506649
