Date,x(uT),y(uT),z(uT)
2014-03-09 13:07:07.816,-18.359999,-17.46,-36.899998
2014-03-09 13:07:07.816,-18.539999,-18.18,-36.36
2014-03-09 13:07:07.816,-18.539999,-18.539999,-36.059998
2014-03-09 13:07:07.847,-18.6,-18.539999,-36.54
2014-03-09 13:07:07.848,-18.48,-19.26,-36.239998
2014-03-09 13:07:07.848,-17.94,-19.859999,-36.48
2014-03-09 13:07:07.858,-16.5,-20.58,-36.84
2014-03-09 13:07:07.865,-16.56,-19.98,-36.719997
2014-03-09 13:07:07.875,-15.36,-20.22,-37.079998
2014-03-09 13:07:07.885,-13.92,-20.039999,-37.739998
2014-03-09 13:07:07.895,-12.48,-19.92,-38.399998
2014-03-09 13:07:07.905,-10.74,-19.26,-39.059998
2014-03-09 13:07:07.915,-9.059999,-18.42,-39.96
2014-03-09 13:07:07.925,-7.68,-17.22,-40.86
2014-03-09 13:07:07.935,-6.8999996,-15.839999,-41.579998
2014-03-09 13:07:07.946,-6.42,-14.04,-42.48
2014-03-09 13:07:07.956,-6.54,-12.42,-42.899998
2014-03-09 13:07:07.966,-7.3199997,-10.92,-43.32
2014-03-09 13:07:07.976,-8.099999,-9.42,-43.559998
2014-03-09 13:07:07.986,-9.179999,-8.22,-43.68
2014-03-09 13:07:07.996,-10.5,-7.08,-43.62
2014-03-09 13:07:08.006,-11.759999,-6.2999997,-43.32
2014-03-09 13:07:08.016,-13.0199995,-5.7,-43.26
2014-03-09 13:07:08.026,-14.16,-5.64,-42.899998
2014-03-09 13:07:08.036,-15.059999,-5.7599998,-42.66
2014-03-09 13:07:08.046,-15.599999,-6.0,-42.18
2014-03-09 13:07:08.057,-16.199999,-6.18,-41.76
2014-03-09 13:07:08.067,-16.859999,-6.48,-41.28
2014-03-09 13:07:08.077,-17.52,-6.7799997,-40.92
2014-03-09 13:07:08.087,-18.18,-7.14,-40.5
2014-03-09 13:07:08.099,-18.96,-7.56,-40.02
2014-03-09 13:07:08.107,-19.859999,-7.7999997,-39.239998
2014-03-09 13:07:08.117,-20.699999,-8.16,-38.64
2014-03-09 13:07:08.127,-21.72,-8.76,-38.04
2014-03-09 13:07:08.139,-22.74,-9.48,-37.38
2014-03-09 13:07:08.149,-23.519999,-10.2,-36.66
2014-03-09 13:07:08.158,-24.24,-10.98,-36.0
2014-03-09 13:07:08.172,-25.14,-11.4,-35.28
2014-03-09 13:07:08.179,-25.619999,-11.94,-34.739998
2014-03-09 13:07:08.190,-26.039999,-12.719999,-34.38
2014-03-09 13:07:08.199,-26.519999,-13.259999,-33.78
2014-03-09 13:07:08.215,-26.699999,-13.799999,-33.3
2014-03-09 13:07:08.219,-26.76,-14.099999,-32.76
2014-03-09 13:07:08.233,-27.0,-14.5199995,-32.399998
2014-03-09 13:07:08.240,-27.24,-14.88,-32.219997
2014-03-09 13:07:08.254,-27.0,-15.36,-31.98
2014-03-09 13:07:08.260,-27.3,-15.54,-31.74
2014-03-09 13:07:08.270,-27.24,-15.54,-31.5
2014-03-09 13:07:08.280,-27.3,-15.54,-31.5
2014-03-09 13:07:08.304,-27.42,-15.96,-31.26
2014-03-09 13:07:08.324,-27.24,-16.14,-31.14
2014-03-09 13:07:08.345,-27.24,-16.44,-30.84
2014-03-09 13:07:08.364,-27.3,-16.8,-30.779999
2014-03-09 13:07:08.384,-27.24,-17.22,-30.599998
2014-03-09 13:07:08.405,-27.3,-17.46,-30.599998
2014-03-09 13:07:08.425,-27.18,-17.82,-30.599998
2014-03-09 13:07:08.445,-27.3,-17.94,-30.66
2014-03-09 13:07:08.465,-27.359999,-18.0,-30.66
2014-03-09 13:07:08.485,-27.24,-18.18,-30.539999
2014-03-09 13:07:08.503,-27.3,-18.24,-30.539999
2014-03-09 13:07:08.523,-27.359999,-18.24,-30.3
2014-03-09 13:07:08.543,-27.3,-18.48,-30.179998
