Date,xsin(theta/2),ysin(theta/2),zsin(theta/2)
2014-03-09 13:07:09.532,0.13913238,-0.21029975,-0.7759971
2014-03-09 13:07:09.553,0.13998674,-0.21143377,-0.775902
2014-03-09 13:07:09.571,0.13966325,-0.21230696,-0.77605563
2014-03-09 13:07:09.600,0.13903776,-0.21357629,-0.776318
2014-03-09 13:07:09.617,0.13915123,-0.214325,-0.77652925
2014-03-09 13:07:09.637,0.1397862,-0.21407616,-0.7768541
2014-03-09 13:07:09.655,0.14031464,-0.21305354,-0.77743775
2014-03-09 13:07:09.677,0.14011323,-0.2123259,-0.778132
2014-03-09 13:07:09.703,0.1395874,-0.21260513,-0.77871203
2014-03-09 13:07:09.717,0.13966466,-0.21329896,-0.7789881
2014-03-09 13:07:09.734,0.14009844,-0.21411216,-0.7791287
2014-03-09 13:07:09.765,0.13990319,-0.21440144,-0.7793258
2014-03-09 13:07:09.803,0.13919736,-0.21426286,-0.7796506
2014-03-09 13:07:09.807,0.13827002,-0.21440929,-0.7800899
2014-03-09 13:07:09.824,0.13778311,-0.21504474,-0.7804465
2014-03-09 13:07:09.841,0.1367,-0.21528415,-0.7809902
2014-03-09 13:07:09.865,0.13501948,-0.21509849,-0.7816688
2014-03-09 13:07:09.884,0.13375138,-0.21529011,-0.78218555
2014-03-09 13:07:09.912,0.13346672,-0.2159874,-0.782447
2014-03-09 13:07:09.929,0.13384087,-0.21691431,-0.782508
2014-03-09 13:07:09.945,0.13356185,-0.21776795,-0.7827414
2014-03-09 13:07:09.963,0.13288514,-0.21889941,-0.7830865
2014-03-09 13:07:09.983,0.13255231,-0.220151,-0.7835458
2014-03-09 13:07:10.006,0.13219486,-0.22089745,-0.7843581
2014-03-09 13:07:10.024,0.1317604,-0.22118057,-0.78520894
2014-03-09 13:07:10.042,0.13123386,-0.22137202,-0.7862398
2014-03-09 13:07:10.060,0.130564,-0.22140883,-0.7874269
2014-03-09 13:07:10.080,0.12965117,-0.22122356,-0.7887615
2014-03-09 13:07:10.109,0.12824205,-0.22080608,-0.79027194
2014-03-09 13:07:10.125,0.1269977,-0.22080722,-0.7913696
2014-03-09 13:07:10.142,0.1253322,-0.22138312,-0.7925219
2014-03-09 13:07:10.161,0.12375275,-0.22194421,-0.7935727
2014-03-09 13:07:10.191,0.12267957,-0.22220187,-0.79459035
2014-03-09 13:07:10.209,0.12229458,-0.22238962,-0.79543823
2014-03-09 13:07:10.253,0.12217301,-0.22283852,-0.79616976
2014-03-09 13:07:10.258,0.12146852,-0.22344118,-0.7971876
2014-03-09 13:07:10.262,0.12110457,-0.22376648,-0.79797024
2014-03-09 13:07:10.285,0.12072438,-0.22408095,-0.7989135
2014-03-09 13:07:10.301,0.12052891,-0.22426046,-0.79986924
2014-03-09 13:07:10.321,0.12046643,-0.22372688,-0.80083
2014-03-09 13:07:10.342,0.12000396,-0.22291203,-0.80180025
2014-03-09 13:07:10.361,0.119336866,-0.22288486,-0.8025379
2014-03-09 13:07:10.380,0.1194864,-0.22342622,-0.8029563
2014-03-09 13:07:10.401,0.12048698,-0.22373714,-0.803307
2014-03-09 13:07:10.421,0.12151835,-0.22352727,-0.80383885
2014-03-09 13:07:10.441,0.12226458,-0.22334175,-0.80447733
2014-03-09 13:07:10.460,0.12241495,-0.22338748,-0.8052231
2014-03-09 13:07:10.481,0.12200983,-0.2235852,-0.8058296
2014-03-09 13:07:10.504,0.121842965,-0.22365697,-0.806168
2014-03-09 13:07:10.523,0.12196648,-0.22358069,-0.80647117
2014-03-09 13:07:10.542,0.12211637,-0.22348648,-0.80678517
2014-03-09 13:07:10.561,0.12219025,-0.2231947,-0.8071239
2014-03-09 13:07:10.581,0.121806964,-0.22297597,-0.80748844
2014-03-09 13:07:10.601,0.12119642,-0.22336128,-0.80775064
