Date,Light(lux)
2014-03-09 15:36:07.264,10240.0
2014-03-09 15:36:16.169,320.0
2014-03-09 15:36:16.345,2600.0
2014-03-09 15:36:16.519,10240.0
2014-03-09 15:36:16.708,2600.0
2014-03-09 15:36:16.869,320.0
2014-03-09 15:36:19.320,225.0
2014-03-09 15:36:20.371,160.0
2014-03-09 15:36:20.546,225.0
2014-03-09 15:36:22.647,320.0
2014-03-09 15:36:23.348,225.0
2014-03-09 15:36:23.525,160.0
2014-03-09 15:36:24.748,225.0
2014-03-09 15:36:24.927,320.0
2014-03-09 15:36:25.976,225.0
2014-03-09 15:36:27.737,320.0
2014-03-09 15:36:30.006,225.0
2014-03-09 15:36:30.350,320.0
2014-03-09 15:36:31.930,225.0
2014-03-09 15:36:32.453,160.0
2014-03-09 15:36:32.629,225.0
2014-03-09 15:36:32.811,320.0
2014-03-09 15:36:33.328,225.0
2014-03-09 15:36:33.854,320.0
2014-03-09 15:36:34.731,225.0
2014-03-09 15:36:35.429,320.0
2014-03-09 15:36:36.128,225.0
2014-03-09 15:36:36.308,160.0
2014-03-09 15:36:36.835,225.0
2014-03-09 15:36:37.179,320.0
2014-03-09 15:36:37.918,225.0
2014-03-09 15:36:38.058,160.0
2014-03-09 15:36:38.239,320.0
2014-03-09 15:36:38.408,160.0
2014-03-09 15:36:38.929,320.0
2014-03-09 15:36:40.508,225.0
2014-03-09 15:36:40.859,320.0
2014-03-09 15:36:44.184,225.0
2014-03-09 15:36:44.533,320.0
2014-03-09 15:36:44.717,225.0
2014-03-09 15:36:45.596,320.0
2014-03-09 15:36:53.118,225.0
2014-03-09 15:36:53.639,320.0
2014-03-09 15:36:55.227,225.0
2014-03-09 15:36:55.390,160.0
2014-03-09 15:36:56.090,225.0
2014-03-09 15:36:56.267,320.0
2014-03-09 15:36:56.619,225.0
2014-03-09 15:36:57.141,320.0
2014-03-09 15:37:01.169,225.0
2014-03-09 15:37:01.694,320.0
2014-03-09 15:37:02.227,225.0
2014-03-09 15:37:03.106,320.0
2014-03-09 15:37:05.727,225.0
2014-03-09 15:37:05.904,160.0
2014-03-09 15:37:06.599,225.0
2014-03-09 15:37:07.122,160.0
2014-03-09 15:37:08.006,225.0
2014-03-09 15:37:08.348,320.0
2014-03-09 15:37:09.399,10240.0
