Date,x(m/s^2),y(m/s^2),z(m/s^2)
2014-03-09 15:36:07.397,0.10019551,-0.02762776,0.05401725
2014-03-09 15:36:07.415,0.08327454,-0.032374438,0.05224556
2014-03-09 15:36:07.435,0.11589744,-0.42424855,0.18778746
2014-03-09 15:36:07.455,-0.6306272,-0.8951619,0.00431874
2014-03-09 15:36:07.475,-0.72078043,-0.55422246,-0.1641172
2014-03-09 15:36:07.496,-0.37546465,-0.12593743,-0.11584365
2014-03-09 15:36:07.517,-0.0186002,0.055397388,-0.01225646
2014-03-09 15:36:07.537,-0.007947141,0.24389,-0.052670445
2014-03-09 15:36:07.556,-0.1568759,0.6566492,-0.22817712
2014-03-09 15:36:07.577,-0.1309514,1.2020007,-0.41689402
2014-03-09 15:36:07.597,0.07005634,1.172684,-0.33724338
2014-03-09 15:36:07.616,0.32710445,0.35230893,0.04153695
2014-03-09 15:36:07.635,0.13600571,0.19200338,0.023308514
2014-03-09 15:36:07.660,-0.29623204,0.3884468,-0.1840412
2014-03-09 15:36:07.676,-0.3488172,0.72130597,-0.29490313
2014-03-09 15:36:07.697,-0.10261669,0.7533878,-0.21255004
2014-03-09 15:36:07.715,-0.089942284,0.39830363,-0.10472188
2014-03-09 15:36:07.735,-0.08585085,0.2859705,-0.06605635
2014-03-09 15:36:07.757,0.056123674,-0.28775063,0.11211125
2014-03-09 15:36:07.776,0.015458778,-0.10641915,0.06698119
2014-03-09 15:36:07.797,0.09061021,0.18099457,0.041823912
2014-03-09 15:36:07.815,-0.059591826,0.47105438,-0.07607211
2014-03-09 15:36:07.835,-0.064085886,-0.4261374,0.09534752
2014-03-09 15:36:07.858,0.03643303,-0.50987643,0.14504498
2014-03-09 15:36:07.876,0.3391301,-0.325161,0.22164011
2014-03-09 15:36:07.896,0.69233775,-0.1766987,0.28152022
2014-03-09 15:36:07.918,0.49147433,-0.26944768,0.24369572
2014-03-09 15:36:07.944,0.21330194,0.09915881,0.13456108
2014-03-09 15:36:07.957,0.2355223,-0.26688555,0.17758997
2014-03-09 15:36:07.978,0.16905113,-0.23224951,0.14480454
2014-03-09 15:36:07.997,0.2999663,0.0762153,0.12517048
2014-03-09 15:36:08.017,0.44592065,-0.0082543995,0.15573362
2014-03-09 15:36:08.037,0.6976655,0.27626887,0.1505335
2014-03-09 15:36:08.057,0.89959574,0.17240769,0.1707738
2014-03-09 15:36:08.081,0.24901871,0.03925101,0.09471433
2014-03-09 15:36:08.107,0.30433553,0.05936722,0.09102719
2014-03-09 15:36:08.119,0.5878349,0.24296618,0.097275764
2014-03-09 15:36:08.134,0.6736251,0.25277707,0.085258804
2014-03-09 15:36:08.154,0.8114595,0.26457408,0.07653204
2014-03-09 15:36:08.174,0.6965211,0.18799412,0.061287094
2014-03-09 15:36:08.194,0.70254475,-0.058085036,0.06126775
2014-03-09 15:36:08.225,0.67932695,-0.7789973,0.006669574
2014-03-09 15:36:08.238,0.56216574,-0.7411698,-0.048975013
2014-03-09 15:36:08.257,0.48820397,-0.4568855,-0.071388505
2014-03-09 15:36:08.280,0.58897257,-0.22137292,-0.10485437
2014-03-09 15:36:08.300,1.5373724,0.0075626173,-0.38857836
2014-03-09 15:36:08.320,1.6100597,0.5199824,-0.5621891
2014-03-09 15:36:08.334,1.4131985,0.19143994,-0.64382595
2014-03-09 15:36:08.354,0.97023576,-0.03547818,-0.5842216
2014-03-09 15:36:08.375,0.5550617,-0.26427984,-0.5409216
2014-03-09 15:36:08.395,0.30492058,0.024920944,-0.5458081
2014-03-09 15:36:08.416,-0.060054146,0.52406347,-0.4146485
2014-03-09 15:36:08.436,-0.60936046,0.6065156,-0.054844175
2014-03-09 15:36:08.456,-1.0304108,-0.41683945,0.1369948
2014-03-09 15:36:08.478,-1.1692189,-0.5417374,0.18598656
2014-03-09 15:36:08.499,-0.552188,-0.7765711,-0.5344536
2014-03-09 15:36:08.517,-0.8871099,-0.34638515,0.0013356691
2014-03-09 15:36:08.545,-0.9705126,-0.31346467,0.08981033
2014-03-09 15:36:08.557,-1.3515708,-0.45943588,0.40601468
2014-03-09 15:36:08.574,-1.8358507,-0.769239,0.5228644
2014-03-09 15:36:08.594,-1.7839079,-0.5390959,0.74385685
2014-03-09 15:36:08.620,-1.7915934,-0.7400731,0.59042966
2014-03-09 15:36:08.636,-1.3013996,-0.60125023,0.32414997
2014-03-09 15:36:08.662,-1.0871352,-0.66494405,0.05417528
2014-03-09 15:36:08.678,-1.1774124,-0.47463477,0.55803245
2014-03-09 15:36:08.696,-1.1622292,-0.49431306,0.5977875
2014-03-09 15:36:08.728,-1.249237,-0.59080523,0.644965
2014-03-09 15:36:08.737,-1.1615859,-0.5679715,0.57946384
2014-03-09 15:36:08.768,-1.0505095,-0.4523215,0.6362523
2014-03-09 15:36:08.774,-0.8487733,-0.25314468,0.72665644
2014-03-09 15:36:08.799,-0.8827927,-0.32078537,0.63775367
2014-03-09 15:36:08.818,-0.7046656,-0.19787118,0.55044156
2014-03-09 15:36:08.834,-0.8151586,-0.10357681,0.6470182
2014-03-09 15:36:08.855,-0.76025593,0.07134569,0.7577851
2014-03-09 15:36:08.877,-0.5975592,0.3401798,0.86385864
2014-03-09 15:36:08.896,-0.4874483,0.42730516,0.79644746
2014-03-09 15:36:08.916,-0.3609368,0.521232,0.7135563
2014-03-09 15:36:08.938,-0.22507155,0.99099404,0.7874523
2014-03-09 15:36:08.963,-0.18651839,0.9080111,0.6091246
2014-03-09 15:36:08.981,-0.31214207,0.65940505,0.519173
2014-03-09 15:36:09.012,-0.59938973,0.28612494,0.4971266
2014-03-09 15:36:09.025,-0.7885319,0.18348958,0.4662292
2014-03-09 15:36:09.050,-0.64764076,0.28915057,0.31993484
2014-03-09 15:36:09.069,-0.54082334,0.40141568,0.19296354
2014-03-09 15:36:09.087,-0.4889394,0.36019847,0.07839593
2014-03-09 15:36:09.112,-0.02396832,-0.14198282,-0.31217772
2014-03-09 15:36:09.128,0.31999156,0.3483841,-0.34414428
2014-03-09 15:36:09.148,0.55316305,0.80634546,-0.36910015
2014-03-09 15:36:09.168,0.70285064,1.10966,-0.41762725
2014-03-09 15:36:09.186,1.1415848,0.74333173,-0.69774795
2014-03-09 15:36:09.217,2.37341,-0.2800659,-1.7134298
2014-03-09 15:36:09.240,2.6153057,-0.6630221,-2.095658
2014-03-09 15:36:09.270,2.3237095,-0.614058,-1.8865798
2014-03-09 15:36:09.285,2.0507731,-0.4116643,-1.6139588
2014-03-09 15:36:09.305,1.6570976,0.07023026,-1.1428463
2014-03-09 15:36:09.319,1.5336322,0.04162312,-1.0539979
2014-03-09 15:36:09.333,1.7253554,-0.29588664,-1.3471465
2014-03-09 15:36:09.346,1.8644007,-0.43598023,-1.6266555
2014-03-09 15:36:09.364,1.7522718,-0.12778698,-1.5130246
2014-03-09 15:36:09.385,1.7369087,0.40500736,-1.5547361
2014-03-09 15:36:09.404,1.4293892,0.20532267,-1.4187167
