Date,x(m/s^2),y(m/s^2),z(m/s^2)
2014-03-09 15:36:09.111,5.2174134,-2.5206025,7.9117346
2014-03-09 15:36:09.127,5.036906,-2.5273316,8.025744
2014-03-09 15:36:09.147,4.8964624,-2.4234102,8.14384
2014-03-09 15:36:09.166,4.808044,-2.243195,8.247497
2014-03-09 15:36:09.185,4.7596602,-2.0634859,8.322143
2014-03-09 15:36:09.216,4.818501,-2.051957,8.291075
2014-03-09 15:36:09.239,4.9253025,-2.0876725,8.219088
2014-03-09 15:36:09.270,5.076956,-2.1407928,8.112456
2014-03-09 15:36:09.285,5.1923423,-2.1541455,8.035522
2014-03-09 15:36:09.304,5.2695813,-2.0573032,8.010582
2014-03-09 15:36:09.318,5.3157573,-1.9440035,8.0083685
2014-03-09 15:36:09.332,5.4433274,-1.8752532,7.938766
2014-03-09 15:36:09.345,5.6660304,-1.8629696,7.784332
2014-03-09 15:36:09.364,5.895408,-1.7198747,7.6456904
2014-03-09 15:36:09.385,6.184038,-1.1653161,7.5213103
2014-03-09 15:36:09.404,6.5247703,-0.7551143,7.2820034
2014-03-09 15:36:09.424,6.9771075,-0.41673607,6.878712
2014-03-09 15:36:09.445,7.5701184,-0.12891777,6.232742
2014-03-09 15:36:09.464,8.028103,0.051530574,5.631811
2014-03-09 15:36:09.484,8.343552,0.08172084,5.152557
2014-03-09 15:36:09.504,8.557684,-0.0030444823,4.7892
2014-03-09 15:36:09.526,8.756777,-0.3185957,4.4031515
2014-03-09 15:36:09.545,8.918105,-0.5268787,4.0447745
2014-03-09 15:36:09.566,9.069099,-0.5858134,3.6849236
2014-03-09 15:36:09.589,9.185346,-0.5462404,3.391378
2014-03-09 15:36:09.611,9.171599,-0.6267328,3.4145813
2014-03-09 15:36:09.624,9.1050205,-0.7885259,3.556295
2014-03-09 15:36:09.644,9.018137,-0.9757804,3.7271209
2014-03-09 15:36:09.664,8.893987,-0.98951405,4.0110154
2014-03-09 15:36:09.684,8.780929,-1.0011238,4.2501097
2014-03-09 15:36:09.706,8.656548,-0.99598384,4.4991746
2014-03-09 15:36:09.725,8.485568,-0.99463034,4.81417
