Date,x(uT),y(uT),z(uT)
2014-03-09 15:36:07.266,29.22,8.04,-29.519999
2014-03-09 15:36:07.276,28.8,8.82,-29.939999
2014-03-09 15:36:07.301,28.32,9.24,-30.359999
2014-03-09 15:36:07.320,28.5,9.0,-29.64
2014-03-09 15:36:07.337,27.779999,10.38,-29.64
2014-03-09 15:36:07.357,26.82,11.46,-30.06
2014-03-09 15:36:07.377,27.06,10.8,-30.48
2014-03-09 15:36:07.398,25.859999,11.58,-31.14
2014-03-09 15:36:07.418,24.48,12.059999,-31.92
2014-03-09 15:36:07.437,22.8,12.78,-32.82
2014-03-09 15:36:07.457,21.42,13.44,-33.78
2014-03-09 15:36:07.478,19.619999,14.04,-34.86
2014-03-09 15:36:07.498,18.0,14.82,-35.88
2014-03-09 15:36:07.519,16.5,15.24,-36.78
2014-03-09 15:36:07.539,15.179999,15.48,-37.44
2014-03-09 15:36:07.560,14.099999,15.719999,-37.86
2014-03-09 15:36:07.580,13.139999,16.32,-38.1
2014-03-09 15:36:07.599,12.36,16.68,-38.28
2014-03-09 15:36:07.618,11.4,17.1,-38.879997
2014-03-09 15:36:07.638,10.74,17.64,-39.18
2014-03-09 15:36:07.662,10.0199995,18.0,-39.3
2014-03-09 15:36:07.678,9.42,18.6,-39.36
2014-03-09 15:36:07.700,8.76,19.199999,-39.66
2014-03-09 15:36:07.719,8.16,20.22,-40.559998
2014-03-09 15:36:07.759,7.44,20.88,-40.8
2014-03-09 15:36:07.778,6.72,21.48,-41.1
2014-03-09 15:36:07.798,6.12,22.439999,-41.579998
2014-03-09 15:36:07.818,5.2799997,22.74,-41.46
2014-03-09 15:36:07.840,4.38,23.1,-41.399998
2014-03-09 15:36:07.860,3.4199998,23.279999,-41.04
2014-03-09 15:36:07.878,2.46,23.64,-40.5
2014-03-09 15:36:07.899,1.38,23.82,-39.54
2014-03-09 15:36:07.921,0.59999996,24.06,-39.12
2014-03-09 15:36:07.947,-0.96,24.359999,-37.26
2014-03-09 15:36:07.961,-1.4399999,24.96,-36.78
2014-03-09 15:36:07.982,-1.86,25.14,-36.3
2014-03-09 15:36:08.001,-2.1599998,25.74,-36.0
2014-03-09 15:36:08.021,-2.52,26.099998,-35.7
2014-03-09 15:36:08.041,-2.52,26.519999,-35.219997
2014-03-09 15:36:08.061,-2.46,27.0,-35.04
2014-03-09 15:36:08.110,-2.22,27.48,-34.559998
2014-03-09 15:36:08.121,-2.04,28.14,-34.26
2014-03-09 15:36:08.141,-2.04,28.68,-33.899998
2014-03-09 15:36:08.161,-1.92,29.34,-33.54
2014-03-09 15:36:08.181,-1.74,29.76,-33.18
2014-03-09 15:36:08.201,-1.4399999,30.48,-32.64
2014-03-09 15:36:08.228,-1.62,31.019999,-31.98
2014-03-09 15:36:08.242,-2.04,31.8,-31.08
2014-03-09 15:36:08.263,-2.7,32.28,-30.66
2014-03-09 15:36:08.285,-3.24,32.82,-30.06
2014-03-09 15:36:08.310,-3.8999999,33.36,-29.46
2014-03-09 15:36:08.322,-4.74,33.899998,-28.56
2014-03-09 15:36:08.342,-5.64,34.739998,-27.84
2014-03-09 15:36:08.362,-6.7799997,35.1,-27.3
2014-03-09 15:36:08.383,-7.68,35.64,-26.519999
2014-03-09 15:36:08.406,-8.5199995,36.0,-25.74
2014-03-09 15:36:08.429,-9.54,36.36,-24.96
2014-03-09 15:36:08.445,-10.92,36.66,-24.06
2014-03-09 15:36:08.467,-12.3,36.899998,-22.8
2014-03-09 15:36:08.491,-14.16,37.02,-21.6
2014-03-09 15:36:08.506,-15.839999,36.78,-20.46
2014-03-09 15:36:08.528,-17.64,36.78,-19.32
2014-03-09 15:36:08.550,-19.8,36.42,-18.119999
2014-03-09 15:36:08.567,-22.199999,36.059998,-16.859999
2014-03-09 15:36:08.587,-24.779999,35.579998,-15.059999
2014-03-09 15:36:08.607,-27.119999,34.559998,-13.08
2014-03-09 15:36:08.627,-29.34,33.48,-11.16
2014-03-09 15:36:08.659,-33.66,30.599998,-7.02
2014-03-09 15:36:08.674,-35.76,28.859999,-4.5
2014-03-09 15:36:08.698,-37.8,26.76,-2.22
2014-03-09 15:36:08.718,-39.36,24.42,0.0
2014-03-09 15:36:08.741,-40.739998,22.14,2.1
2014-03-09 15:36:08.769,-42.0,19.74,3.8999999
2014-03-09 15:36:08.777,-43.14,17.1,5.46
2014-03-09 15:36:08.797,-43.92,14.4,6.8399997
