Date,xsin(theta/2),ysin(theta/2),zsin(theta/2)
2014-03-09 15:36:07.416,0.12592997,0.18735415,0.30556804
2014-03-09 15:36:07.436,0.11539187,0.17034642,0.2925333
2014-03-09 15:36:07.455,0.09228646,0.1805704,0.26498854
2014-03-09 15:36:07.476,0.0766676,0.19033583,0.23951213
2014-03-09 15:36:07.497,0.06916731,0.18852407,0.21694878
2014-03-09 15:36:07.518,0.06693133,0.17887451,0.19746196
2014-03-09 15:36:07.538,0.06977313,0.17267153,0.18026593
2014-03-09 15:36:07.558,0.07808253,0.1705283,0.1647656
2014-03-09 15:36:07.578,0.08856569,0.16810521,0.14997657
2014-03-09 15:36:07.598,0.096183136,0.1645537,0.13258357
2014-03-09 15:36:07.617,0.09326954,0.15981558,0.112054974
2014-03-09 15:36:07.636,0.089736395,0.15929851,0.08835648
2014-03-09 15:36:07.661,0.08974917,0.16179474,0.06507198
2014-03-09 15:36:07.677,0.09205867,0.16179353,0.04488798
2014-03-09 15:36:07.699,0.09434195,0.15797159,0.027011236
2014-03-09 15:36:07.716,0.093236566,0.15451984,0.007867724
2014-03-09 15:36:07.736,0.09131622,0.1516724,-0.011129723
2014-03-09 15:36:07.758,0.084886536,0.1477979,-0.028665036
2014-03-09 15:36:07.777,0.08020881,0.14520925,-0.043673523
2014-03-09 15:36:07.797,0.07876109,0.14194842,-0.055318505
2014-03-09 15:36:07.817,0.08003356,0.14066385,-0.06544236
2014-03-09 15:36:07.839,0.07366973,0.13999845,-0.07688316
2014-03-09 15:36:07.859,0.06281942,0.13724808,-0.08527605
2014-03-09 15:36:07.877,0.05366472,0.12852068,-0.09049674
2014-03-09 15:36:07.898,0.04916673,0.11491068,-0.09355967
2014-03-09 15:36:07.920,0.047083493,0.106317535,-0.09533394
2014-03-09 15:36:07.945,0.05021097,0.10418933,-0.09698113
2014-03-09 15:36:07.959,0.048595108,0.10358199,-0.09887925
2014-03-09 15:36:07.981,0.04352353,0.101769365,-0.098548494
2014-03-09 15:36:07.999,0.04184008,0.09644127,-0.09758426
2014-03-09 15:36:08.019,0.039786823,0.091331586,-0.096390195
2014-03-09 15:36:08.039,0.041114427,0.08814245,-0.09623099
2014-03-09 15:36:08.059,0.04081891,0.086056925,-0.09639946
2014-03-09 15:36:08.085,0.037691735,0.090182625,-0.09692646
2014-03-09 15:36:08.109,0.035874248,0.090050966,-0.098700754
2014-03-09 15:36:08.120,0.034097232,0.08558869,-0.10003455
2014-03-09 15:36:08.135,0.035590038,0.08019993,-0.102127664
2014-03-09 15:36:08.155,0.036163885,0.074560404,-0.10490121
2014-03-09 15:36:08.175,0.035034962,0.0686698,-0.108298495
2014-03-09 15:36:08.194,0.02903564,0.058601864,-0.11175316
2014-03-09 15:36:08.227,0.0016115592,0.039185096,-0.11433901
2014-03-09 15:36:08.239,-0.018329527,0.023067273,-0.112585925
2014-03-09 15:36:08.259,-0.035163317,0.0067088185,-0.11111594
2014-03-09 15:36:08.281,-0.045679193,-0.009234245,-0.109626874
2014-03-09 15:36:08.301,-0.052140065,-0.032999475,-0.10720797
2014-03-09 15:36:08.320,-0.05354994,-0.06470354,-0.105260946
2014-03-09 15:36:08.335,-0.057859093,-0.09169235,-0.099730805
2014-03-09 15:36:08.354,-0.0694616,-0.117923714,-0.09379061
2014-03-09 15:36:08.376,-0.08789673,-0.1484559,-0.083888575
2014-03-09 15:36:08.396,-0.09981451,-0.1983471,-0.067214005
2014-03-09 15:36:08.417,-0.09878166,-0.25433728,-0.04643527
2014-03-09 15:36:08.437,-0.09117248,-0.28745025,-0.02991233
2014-03-09 15:36:08.457,-0.10585322,-0.29708445,-0.003180137
2014-03-09 15:36:08.480,-0.13574444,-0.2988615,0.01512699
2014-03-09 15:36:08.501,-0.1869465,-0.31714493,0.025823103
2014-03-09 15:36:08.519,-0.20609078,-0.345672,0.039323974
2014-03-09 15:36:08.547,-0.22045706,-0.3823263,0.06450237
2014-03-09 15:36:08.559,-0.23153847,-0.38739318,0.07271652
2014-03-09 15:36:08.575,-0.2765648,-0.3773464,0.072387785
