Date,accelX-gX(m/s^2),accelY-gY(m/s^2),accelZ-gZ(m/s^2)
2014-03-09 15:36:09.033,3.9839516,-2.4899697,8.42759
2014-03-09 15:36:09.047,3.9073372,-2.3750482,8.542512
2014-03-09 15:36:09.066,3.7924154,-2.1452048,8.887277
2014-03-09 15:36:09.084,3.5625722,-2.1452048,9.078813
2014-03-09 15:36:09.093,3.5625722,-2.566584,9.002198
2014-03-09 15:36:09.109,3.715801,-2.9113493,8.6574335
2014-03-09 15:36:09.125,3.86903,-2.3750482,8.734048
2014-03-09 15:36:09.144,3.9456444,-1.7238252,8.772355
2014-03-09 15:36:09.164,4.0222588,-1.1492168,8.810662
2014-03-09 15:36:09.174,4.711789,-1.340753,9.078813
2014-03-09 15:36:09.195,5.401319,-1.9536686,8.772355
2014-03-09 15:36:09.205,6.2823853,-2.4133554,8.00621
2014-03-09 15:36:09.235,7.201759,-3.0262709,7.8529816
2014-03-09 15:36:09.271,7.73806,-3.0262709,8.0445175
2014-03-09 15:36:09.282,8.274361,-3.2561142,8.580819
2014-03-09 15:36:09.284,8.42759,-3.2944214,9.346964
2014-03-09 15:36:09.287,8.121132,-2.4899697,9.768343
2014-03-09 15:36:09.317,8.082825,-2.336741,9.653421
2014-03-09 15:36:09.328,8.236053,-2.566584,8.580819
2014-03-09 15:36:09.338,8.542512,-2.681506,7.5848308
2014-03-09 15:36:09.353,9.040505,-2.2218192,7.5465236
2014-03-09 15:36:09.365,9.653421,-1.4939818,7.8529816
2014-03-09 15:36:09.383,10.381259,-0.9576807,7.776367
2014-03-09 15:36:09.393,10.572795,-0.6512229,7.393295
2014-03-09 15:36:09.413,10.572795,-0.34476504,6.8569937
2014-03-09 15:36:09.433,10.91756,-0.6512229,6.435614
2014-03-09 15:36:09.443,11.33894,0.0,5.9759274
2014-03-09 15:36:09.463,11.645397,0.15322891,5.631162
2014-03-09 15:36:09.473,11.262324,-0.11492168,5.094861
2014-03-09 15:36:09.493,10.726024,-0.45968673,4.55856
2014-03-09 15:36:09.517,10.6877165,-1.1875241,4.4819455
2014-03-09 15:36:09.524,11.147403,-1.5705963,4.1371803
2014-03-09 15:36:09.543,11.722012,-1.7621324,3.715801
2014-03-09 15:36:09.554,11.722012,-1.5705963,2.9113493
2014-03-09 15:36:09.581,11.262324,-1.3024458,2.3750482
2014-03-09 15:36:09.597,10.496181,-1.6089035,2.4516625
2014-03-09 15:36:09.607,10.151415,-2.336741,3.3327289
2014-03-09 15:36:09.619,10.036493,-2.834735,4.55856
2014-03-09 15:36:09.633,9.768343,-2.2984335,5.554548
2014-03-09 15:36:09.653,9.232041,-1.5705963,6.397307
2014-03-09 15:36:09.663,9.002198,-0.7278373,6.703765
2014-03-09 15:36:09.683,8.925584,-0.5746084,6.7803793
2014-03-09 15:36:09.703,8.734048,-0.45968673,6.895301
2014-03-09 15:36:09.713,8.580819,-0.38307226,7.1251445
2014-03-09 15:36:09.734,8.6574335,0.0,7.73806
2014-03-09 15:36:09.744,8.887277,0.5363012,8.619126
2014-03-09 15:36:09.775,9.5385,0.91937345,8.963891
2014-03-09 15:36:09.777,10.228029,0.842759,8.695741
2014-03-09 15:36:09.794,10.419566,0.4213795,7.967903
2014-03-09 15:36:09.814,10.496181,-0.4213795,7.5082164
2014-03-09 15:36:09.824,10.496181,-0.91937345,7.929596
2014-03-09 15:36:09.844,10.611102,-1.4556746,8.619126
2014-03-09 15:36:09.864,10.726024,-1.8387469,8.963891
2014-03-09 15:36:09.874,10.6877165,-1.9919758,9.346964
2014-03-09 15:36:09.893,10.534488,-1.8770541,9.308656
2014-03-09 15:36:09.904,10.0748005,-1.8387469,9.002198
2014-03-09 15:36:09.925,9.5385,-1.9536686,8.695741
2014-03-09 15:36:09.934,9.002198,-2.2984335,8.580819
2014-03-09 15:36:09.954,8.580819,-2.2218192,8.504205
2014-03-09 15:36:09.968,8.504205,-2.1452048,8.465898
2014-03-09 15:36:09.985,8.465898,-1.9536686,8.197746
2014-03-09 15:36:10.005,8.389283,-1.6472107,7.776367
2014-03-09 15:36:10.014,8.274361,-1.4173675,7.431602
2014-03-09 15:36:10.045,8.0445175,-1.340753,7.240066
2014-03-09 15:36:10.056,7.699753,-1.2258313,7.201759
2014-03-09 15:36:10.066,7.3549876,-1.2258313,7.1634517
2014-03-09 15:36:10.086,6.933608,-1.1109096,6.895301
2014-03-09 15:36:10.095,6.742072,-1.2258313,6.588843
2014-03-09 15:36:10.121,6.5505357,-1.4939818,6.205771
2014-03-09 15:36:10.130,6.167464,-1.3790601,5.746084
2014-03-09 15:36:10.145,6.129156,-1.4939818,5.746084
2014-03-09 15:36:10.166,6.0525417,-1.7621324,6.090849
2014-03-09 15:36:10.177,5.93762,-1.8004397,6.3206925
2014-03-09 15:36:10.194,5.9759274,-2.1068976,6.3589997
2014-03-09 15:36:10.205,5.93762,-2.2218192,6.205771
2014-03-09 15:36:10.226,6.0525417,-2.2601264,6.090849
2014-03-09 15:36:10.245,6.167464,-2.3750482,5.8226986
2014-03-09 15:36:10.255,6.244078,-2.4133554,5.592855
