Date,Latitude,Longitude,Altitude,Accuracy,Speed,Bearing
2014-03-09 15:36:10.681,36.89118112,138.76481793,989.0,16.0,1.75,351.9
2014-03-09 15:36:11.607,36.89121014,138.76485477,992.0,21.0,2.0,41.0
2014-03-09 15:36:12.641,36.89123929,138.76486984,993.0,22.0,1.5,17.1
2014-03-09 15:36:13.611,36.89125714,138.764876,997.0,22.0,0.75,342.2
2014-03-09 15:36:14.607,36.89125667,138.76486428,998.0,23.0,0.0,0.0
2014-03-09 15:36:15.701,36.89125764,138.76485898,998.0,22.0,0.25,342.2
2014-03-09 15:36:16.597,36.89125779,138.76484626,999.0,21.0,0.0,0.0
2014-03-09 15:36:17.607,36.89126666,138.76483586,999.0,18.0,0.0,0.0
2014-03-09 15:36:18.701,36.89127302,138.76482434,999.0,14.0,0.0,0.0
2014-03-09 15:36:19.749,36.89127272,138.76481495,998.0,12.0,0.0,0.0
2014-03-09 15:36:20.786,36.89127299,138.76480572,998.0,11.0,0.0,0.0
2014-03-09 15:36:22.654,36.89127064,138.76478524,993.0,8.0,0.0,0.0
2014-03-09 15:36:23.651,36.89126981,138.76477773,993.0,7.0,0.0,0.0
2014-03-09 15:36:24.710,36.89126813,138.76477212,993.0,7.0,0.0,0.0
2014-03-09 15:36:25.632,36.89126784,138.76476742,992.0,7.0,0.0,0.0
2014-03-09 15:36:26.629,36.89126832,138.76476408,992.0,7.0,0.0,0.0
2014-03-09 15:36:27.801,36.8912688,138.76476138,992.0,6.0,0.0,0.0
2014-03-09 15:36:28.805,36.89127047,138.76476142,992.0,7.0,0.25,342.2
2014-03-09 15:36:29.805,36.89127538,138.7647611,990.0,7.0,0.5,342.2
2014-03-09 15:36:30.708,36.89128393,138.76476549,989.0,7.0,0.75,342.2
2014-03-09 15:36:31.692,36.89132837,138.76477815,986.0,5.0,3.75,25.8
2014-03-09 15:36:32.825,36.89137581,138.76479037,984.0,5.0,4.5,22.7
2014-03-09 15:36:33.788,36.89142793,138.76478589,982.0,5.0,4.5,14.0
2014-03-09 15:36:34.769,36.89148618,138.76477773,982.0,5.0,5.0,7.0
2014-03-09 15:36:36.681,36.89166854,138.76482118,980.0,7.0,7.75,33.5
2014-03-09 15:36:37.621,36.8917969,138.76486141,979.0,7.0,9.75,14.7
2014-03-09 15:36:38.621,36.89189392,138.76491083,980.0,7.0,10.5,19.5
2014-03-09 15:36:39.614,36.89197528,138.76493959,980.0,7.0,9.5,18.9
2014-03-09 15:36:40.610,36.89204857,138.76500314,980.0,6.0,9.5,26.6
2014-03-09 15:36:41.611,36.89215673,138.76501569,976.0,4.0,10.25,9.7
2014-03-09 15:36:42.642,36.89224357,138.7650418,972.0,5.0,10.25,19.8
2014-03-09 15:36:43.620,36.89232,138.76513484,971.0,4.0,10.25,44.0
2014-03-09 15:36:44.656,36.89237474,138.76522114,969.0,4.0,10.5,49.5
2014-03-09 15:36:45.620,36.8924435,138.76531415,969.0,5.0,11.0,46.8
2014-03-09 15:36:46.610,36.89251651,138.7653957,967.0,6.0,10.75,44.9
2014-03-09 15:36:47.641,36.89266256,138.76532928,963.0,5.0,11.75,8.2
2014-03-09 15:36:48.721,36.89276741,138.76531005,961.0,4.0,11.75,4.5
2014-03-09 15:36:49.629,36.89286616,138.7652873,961.0,5.0,11.75,349.9
2014-03-09 15:36:50.679,36.89296444,138.76523086,960.0,5.0,11.75,338.4
2014-03-09 15:36:51.615,36.89303138,138.76517734,959.0,5.0,10.25,335.2
2014-03-09 15:36:52.621,36.89309237,138.76514205,958.0,4.0,8.75,337.4
2014-03-09 15:36:53.616,36.89315675,138.76513561,956.0,4.0,8.25,353.1
2014-03-09 15:36:54.754,36.89324046,138.76512886,954.0,4.0,9.0,357.7
2014-03-09 15:36:55.886,36.89332979,138.7651449,953.0,4.0,9.5,7.7
2014-03-09 15:36:57.612,36.89351362,138.76516432,954.0,8.0,9.25,5.9
2014-03-09 15:36:58.790,36.8935638,138.76521037,952.0,9.0,8.0,20.6
2014-03-09 15:37:00.780,36.89374987,138.76527615,949.0,12.0,10.75,13.7
2014-03-09 15:37:02.688,36.89393727,138.76530025,945.0,15.0,10.75,4.7
2014-03-09 15:37:03.818,36.89402606,138.76530069,941.0,15.0,10.75,0.6
2014-03-09 15:37:04.831,36.89412178,138.76532218,939.0,16.0,11.25,11.3
2014-03-09 15:37:06.740,36.89432207,138.76528321,939.0,13.0,10.5,340.5
2014-03-09 15:37:07.785,36.89440568,138.76523675,939.0,12.0,10.0,334.3
2014-03-09 15:37:08.824,36.89444316,138.76518962,938.0,10.0,7.0,325.8
2014-03-09 15:37:10.621,36.89451076,138.76512449,935.0,7.0,4.0,328.1
2014-03-09 15:37:11.609,36.89456144,138.76510242,936.0,7.0,4.5,339.1
2014-03-09 15:37:12.608,36.89458892,138.7650942,935.0,6.0,2.75,335.3
2014-03-09 15:37:13.607,36.89460299,138.76508136,935.0,5.0,1.75,326.5
2014-03-09 15:37:14.615,36.89459675,138.76506771,933.0,4.0,1.0,323.4
