Date,x(uT),y(uT),z(uT)
2014-03-09 15:34:17.653,17.34,12.96,-41.76
2014-03-09 15:34:17.672,17.16,11.5199995,-42.0
2014-03-09 15:34:17.692,17.34,10.08,-42.239998
2014-03-09 15:34:17.714,17.34,9.0,-42.48
2014-03-09 15:34:17.732,17.22,8.34,-42.899998
2014-03-09 15:34:17.749,17.22,7.56,-42.66
2014-03-09 15:34:17.768,16.98,7.2,-42.78
2014-03-09 15:34:17.791,16.98,6.66,-42.84
2014-03-09 15:34:17.815,16.8,6.24,-42.78
2014-03-09 15:34:17.829,17.1,6.06,-42.899998
2014-03-09 15:34:17.851,17.039999,5.7,-42.84
2014-03-09 15:34:17.914,17.039999,5.16,-42.6
2014-03-09 15:34:17.926,17.52,4.44,-42.3
2014-03-09 15:34:17.933,17.58,3.8999999,-42.3
2014-03-09 15:34:17.936,17.82,3.4199998,-42.059998
2014-03-09 15:34:17.956,17.82,2.8799999,-41.82
2014-03-09 15:34:17.971,18.119999,2.46,-41.76
2014-03-09 15:34:17.991,18.359999,1.68,-41.579998
2014-03-09 15:34:18.012,18.72,1.3199999,-41.34
2014-03-09 15:34:18.032,19.14,1.0799999,-41.46
2014-03-09 15:34:18.056,19.32,0.84,-41.399998
2014-03-09 15:34:18.072,19.92,0.65999997,-41.34
2014-03-09 15:34:18.093,20.52,0.42,-41.34
2014-03-09 15:34:18.113,21.24,0.29999998,-40.98
2014-03-09 15:34:18.135,21.66,0.29999998,-40.86
2014-03-09 15:34:18.153,21.84,0.48,-40.739998
2014-03-09 15:34:18.173,21.9,0.53999996,-40.739998
2014-03-09 15:34:18.194,22.08,0.24,-40.68
2014-03-09 15:34:18.213,22.08,0.42,-40.68
2014-03-09 15:34:18.234,21.96,0.59999996,-40.559998
2014-03-09 15:34:18.254,21.779999,0.65999997,-40.68
2014-03-09 15:34:18.274,21.42,0.9,-40.92
2014-03-09 15:34:18.296,21.119999,0.96,-40.98
2014-03-09 15:34:18.319,20.88,1.02,-41.1
2014-03-09 15:34:18.334,20.82,0.96,-41.28
2014-03-09 15:34:18.354,20.64,1.3199999,-41.579998
2014-03-09 15:34:18.374,20.4,1.86,-42.059998
2014-03-09 15:34:18.394,20.16,2.22,-42.42
2014-03-09 15:34:18.415,20.16,2.9399998,-43.079998
2014-03-09 15:34:18.435,20.16,3.0,-43.32
2014-03-09 15:34:18.455,20.52,3.48,-44.219997
2014-03-09 15:34:18.475,20.4,3.54,-44.399998
2014-03-09 15:34:18.496,20.46,3.72,-44.7
2014-03-09 15:34:18.515,20.58,4.2599998,-45.239998
2014-03-09 15:34:18.535,20.76,3.9599998,-45.12
2014-03-09 15:34:18.555,20.76,3.84,-45.059998
2014-03-09 15:34:18.576,20.76,3.4199998,-44.579998
2014-03-09 15:34:18.596,20.699999,3.4199998,-44.52
2014-03-09 15:34:18.616,20.279999,2.9399998,-43.739998
2014-03-09 15:34:18.636,20.4,3.12,-43.559998
2014-03-09 15:34:18.656,20.039999,3.06,-43.079998
2014-03-09 15:34:18.676,19.859999,2.7,-42.42
2014-03-09 15:34:18.697,19.56,2.6399999,-42.12
2014-03-09 15:34:18.717,19.619999,2.52,-41.82
2014-03-09 15:34:18.737,19.26,2.52,-41.579998
2014-03-09 15:34:18.757,19.02,2.52,-41.7
2014-03-09 15:34:18.777,18.96,2.82,-41.82
2014-03-09 15:34:18.797,18.779999,2.76,-41.879997
2014-03-09 15:34:18.817,19.02,2.8799999,-41.879997
2014-03-09 15:34:18.837,19.02,2.8799999,-41.64
2014-03-09 15:34:18.857,19.08,3.1799998,-41.7
2014-03-09 15:34:18.878,19.02,3.36,-41.94
2014-03-09 15:34:18.914,19.26,3.4199998,-42.18
2014-03-09 15:34:18.924,19.26,3.54,-42.059998
2014-03-09 15:34:18.940,19.26,3.48,-42.059998
2014-03-09 15:34:18.960,19.199999,3.6599998,-42.0
2014-03-09 15:34:18.980,19.26,3.6599998,-42.3
2014-03-09 15:34:19.043,19.199999,3.4199998,-42.42
2014-03-09 15:34:19.055,19.08,3.3,-42.239998
2014-03-09 15:34:19.064,18.96,3.24,-42.059998
2014-03-09 15:34:19.074,18.779999,3.12,-41.94
2014-03-09 15:34:19.080,18.779999,2.9399998,-41.879997
2014-03-09 15:34:19.100,18.9,2.9399998,-41.879997
2014-03-09 15:34:19.121,18.84,2.7,-41.879997
2014-03-09 15:34:19.140,18.84,2.6399999,-41.579998
2014-03-09 15:34:19.160,18.66,2.76,-41.7
2014-03-09 15:34:19.180,18.72,2.7,-41.76
2014-03-09 15:34:19.200,18.779999,2.6399999,-41.82
2014-03-09 15:34:19.220,18.96,2.6399999,-41.64
2014-03-09 15:34:19.241,19.08,2.3999999,-41.46
2014-03-09 15:34:19.261,18.9,2.22,-41.399998
2014-03-09 15:34:19.281,19.14,2.1,-41.399998
2014-03-09 15:34:19.301,19.199999,2.28,-41.52
2014-03-09 15:34:19.321,19.199999,2.22,-41.28
2014-03-09 15:34:19.341,19.32,1.9799999,-41.399998
2014-03-09 15:34:19.362,19.32,1.74,-41.52
2014-03-09 15:34:19.381,19.26,1.56,-41.579998
2014-03-09 15:34:19.401,19.38,1.56,-41.76
2014-03-09 15:34:19.419,19.38,1.74,-41.82
2014-03-09 15:34:19.439,19.26,1.92,-41.76
2014-03-09 15:34:19.459,19.08,1.56,-41.82
2014-03-09 15:34:19.483,19.26,1.4399999,-41.76
2014-03-09 15:34:19.500,19.38,1.56,-41.64
2014-03-09 15:34:19.520,19.38,1.56,-41.46
2014-03-09 15:34:19.541,19.38,1.68,-41.579998
2014-03-09 15:34:19.562,19.199999,1.86,-41.52
2014-03-09 15:34:19.581,19.14,1.68,-41.399998
2014-03-09 15:34:19.619,19.26,1.38,-41.52
2014-03-09 15:34:19.647,19.439999,1.56,-41.46
2014-03-09 15:34:19.662,19.439999,1.62,-41.64
2014-03-09 15:34:19.675,19.26,1.62,-41.82
2014-03-09 15:34:19.681,19.14,1.8,-41.879997
2014-03-09 15:34:19.701,18.84,1.86,-41.879997
2014-03-09 15:34:19.722,18.96,1.74,-41.879997
2014-03-09 15:34:19.742,18.96,1.74,-42.059998
2014-03-09 15:34:19.764,18.84,2.04,-42.059998
2014-03-09 15:34:19.784,18.6,1.9799999,-42.239998
2014-03-09 15:34:19.804,18.359999,1.86,-42.18
2014-03-09 15:34:19.825,18.119999,1.9799999,-42.239998
2014-03-09 15:34:19.845,18.0,1.86,-42.239998
2014-03-09 15:34:19.865,18.18,1.92,-42.36
2014-03-09 15:34:19.885,18.0,2.1,-42.48
2014-03-09 15:34:19.905,17.82,2.1,-42.48
2014-03-09 15:34:19.925,17.82,2.04,-42.54
2014-03-09 15:34:19.945,17.64,2.1599998,-42.719997
2014-03-09 15:34:19.966,17.52,2.3999999,-42.719997
2014-03-09 15:34:19.991,17.4,2.3999999,-42.48
2014-03-09 15:34:20.013,17.22,2.46,-42.66
2014-03-09 15:34:20.033,17.16,2.6399999,-42.84
2014-03-09 15:34:20.053,16.98,2.76,-43.14
2014-03-09 15:34:20.073,17.16,2.9399998,-43.26
2014-03-09 15:34:20.095,17.16,3.12,-43.44
2014-03-09 15:34:20.124,17.4,3.36,-43.5
2014-03-09 15:34:20.136,17.22,3.54,-43.739998
2014-03-09 15:34:20.156,17.58,4.38,-44.76
2014-03-09 15:34:20.177,17.82,4.56,-44.879997
2014-03-09 15:34:20.198,18.06,4.5,-44.94
2014-03-09 15:34:20.216,18.3,4.8599997,-45.36
2014-03-09 15:34:20.236,18.119999,5.1,-45.3
2014-03-09 15:34:20.256,18.0,5.04,-45.12
2014-03-09 15:34:20.277,17.82,4.92,-44.879997
2014-03-09 15:34:20.297,18.18,4.74,-44.879997
2014-03-09 15:34:20.317,18.0,4.08,-44.04
2014-03-09 15:34:20.337,17.88,4.02,-43.739998
2014-03-09 15:34:20.362,17.64,3.8999999,-43.5
2014-03-09 15:34:20.377,17.4,3.24,-42.719997
2014-03-09 15:34:20.436,17.4,3.0,-42.66
2014-03-09 15:34:20.447,17.4,2.8799999,-42.54
2014-03-09 15:34:20.457,17.4,2.8799999,-42.6
2014-03-09 15:34:20.464,17.34,3.0,-42.54
2014-03-09 15:34:20.478,17.279999,2.9399998,-42.54
2014-03-09 15:34:20.498,17.4,2.82,-42.66
2014-03-09 15:34:20.518,17.64,2.8799999,-42.78
2014-03-09 15:34:20.538,17.76,3.12,-42.84
2014-03-09 15:34:20.558,17.94,3.1799998,-42.78
2014-03-09 15:34:20.580,18.06,3.3,-42.899998
2014-03-09 15:34:20.600,18.3,3.36,-43.079998
2014-03-09 15:34:20.620,18.3,3.3,-42.96
2014-03-09 15:34:20.641,18.24,3.36,-43.02
2014-03-09 15:34:20.661,18.48,3.6,-42.899998
2014-03-09 15:34:20.684,18.24,3.78,-42.66
2014-03-09 15:34:20.702,18.24,3.72,-42.719997
2014-03-09 15:34:20.724,18.24,3.78,-42.96
2014-03-09 15:34:20.747,18.18,3.8999999,-42.899998
2014-03-09 15:34:20.766,18.0,3.78,-42.66
2014-03-09 15:34:20.786,17.82,3.9599998,-42.66
2014-03-09 15:34:20.805,18.06,3.9599998,-42.6
2014-03-09 15:34:20.826,17.64,3.8999999,-42.6
2014-03-09 15:34:20.856,17.58,3.78,-42.66
2014-03-09 15:34:20.870,17.52,3.78,-42.48
2014-03-09 15:34:20.884,17.64,3.9599998,-42.48
2014-03-09 15:34:20.906,17.46,3.8999999,-42.3
2014-03-09 15:34:20.926,17.4,3.8999999,-42.239998
2014-03-09 15:34:20.947,17.58,3.84,-42.36
2014-03-09 15:34:20.966,17.34,3.84,-42.3
2014-03-09 15:34:20.993,17.52,3.78,-42.239998
2014-03-09 15:34:21.011,17.58,3.8999999,-42.3
2014-03-09 15:34:21.031,17.52,3.6599998,-42.54
2014-03-09 15:34:21.051,17.4,3.6,-42.48
2014-03-09 15:34:21.071,17.58,3.54,-42.54
2014-03-09 15:34:21.092,17.52,3.48,-42.3
2014-03-09 15:34:21.133,17.46,3.48,-42.12
2014-03-09 15:34:21.172,17.699999,3.54,-42.059998
2014-03-09 15:34:21.177,17.76,3.54,-42.12
2014-03-09 15:34:21.193,17.82,3.8999999,-42.0
2014-03-09 15:34:21.213,17.76,3.84,-42.0
2014-03-09 15:34:21.233,17.699999,3.9599998,-42.059998
2014-03-09 15:34:21.253,17.88,4.02,-42.3
2014-03-09 15:34:21.277,17.699999,4.14,-42.42
2014-03-09 15:34:21.294,17.52,4.02,-42.48
2014-03-09 15:34:21.314,17.52,4.2,-42.54
2014-03-09 15:34:21.333,17.46,4.38,-42.42
2014-03-09 15:34:21.354,17.52,4.3199997,-42.48
2014-03-09 15:34:21.374,17.4,4.5,-42.48
2014-03-09 15:34:21.429,17.52,4.56,-42.42
2014-03-09 15:34:21.435,17.58,4.68,-42.42
2014-03-09 15:34:21.442,17.64,4.44,-42.36
2014-03-09 15:34:21.455,17.64,4.56,-42.36
2014-03-09 15:34:21.475,17.64,4.56,-42.48
2014-03-09 15:34:21.495,17.64,4.62,-42.66
2014-03-09 15:34:21.516,17.58,4.62,-42.54
2014-03-09 15:34:21.536,17.64,4.68,-42.6
2014-03-09 15:34:21.555,17.34,4.7999997,-42.899998
2014-03-09 15:34:21.577,17.1,5.04,-42.84
2014-03-09 15:34:21.596,17.039999,5.46,-42.899998
2014-03-09 15:34:21.616,16.98,5.8799996,-43.079998
2014-03-09 15:34:21.636,16.8,6.18,-42.899998
2014-03-09 15:34:21.656,16.8,6.42,-42.719997
2014-03-09 15:34:21.676,16.56,6.7799997,-42.78
2014-03-09 15:34:21.696,16.44,7.08,-42.66
2014-03-09 15:34:21.716,16.26,7.56,-42.54
2014-03-09 15:34:21.741,16.32,8.099999,-43.079998
2014-03-09 15:34:21.756,16.26,8.58,-43.379997
2014-03-09 15:34:21.776,16.44,9.059999,-43.739998
2014-03-09 15:34:21.796,16.14,9.42,-43.92
2014-03-09 15:34:21.817,16.199999,9.84,-44.82
2014-03-09 15:34:21.837,16.08,10.62,-45.66
2014-03-09 15:34:21.857,15.66,11.04,-45.96
2014-03-09 15:34:21.877,15.54,11.46,-46.98
2014-03-09 15:34:21.897,14.58,11.4,-46.92
2014-03-09 15:34:21.915,13.98,11.219999,-47.039997
2014-03-09 15:34:21.935,13.2,10.8,-46.92
2014-03-09 15:34:21.955,12.599999,10.86,-46.8
2014-03-09 15:34:21.975,11.7,10.92,-46.14
2014-03-09 15:34:21.995,11.34,10.38,-45.42
2014-03-09 15:34:22.031,11.04,10.32,-45.239998
2014-03-09 15:34:22.055,10.26,10.139999,-44.28
2014-03-09 15:34:22.080,9.599999,10.5,-44.219997
2014-03-09 15:34:22.127,8.82,10.92,-44.04
2014-03-09 15:34:22.130,7.9199996,11.639999,-43.8
2014-03-09 15:34:22.134,7.3199997,12.599999,-43.68
2014-03-09 15:34:22.139,6.72,13.86,-43.379997
2014-03-09 15:34:22.156,6.0,15.48,-43.14
2014-03-09 15:34:22.176,5.46,16.74,-42.96
2014-03-09 15:34:22.196,5.46,17.82,-42.78
2014-03-09 15:34:22.216,5.7599998,18.9,-42.48
2014-03-09 15:34:22.237,6.06,19.859999,-42.239998
2014-03-09 15:34:22.257,6.2999997,20.58,-42.059998
2014-03-09 15:34:22.277,6.54,20.82,-42.18
2014-03-09 15:34:22.297,6.6,20.34,-42.239998
2014-03-09 15:34:22.317,6.3599997,19.74,-42.42
2014-03-09 15:34:22.337,6.06,19.08,-42.6
2014-03-09 15:34:22.357,5.46,18.6,-42.719997
2014-03-09 15:34:22.377,4.68,18.119999,-42.899998
2014-03-09 15:34:22.397,3.78,17.699999,-43.14
2014-03-09 15:34:22.415,3.06,17.4,-43.379997
2014-03-09 15:34:22.435,2.34,17.039999,-43.32
2014-03-09 15:34:22.455,1.92,16.98,-43.5
2014-03-09 15:34:22.475,1.38,17.22,-43.44
2014-03-09 15:34:22.495,1.0799999,17.699999,-43.44
2014-03-09 15:34:22.515,1.14,18.18,-43.44
2014-03-09 15:34:22.535,1.26,18.72,-43.379997
2014-03-09 15:34:22.556,1.74,19.5,-43.02
2014-03-09 15:34:22.577,2.28,20.1,-42.6
2014-03-09 15:34:22.596,2.76,21.0,-42.36
2014-03-09 15:34:22.616,3.1799998,21.6,-42.239998
2014-03-09 15:34:22.636,3.9599998,22.02,-42.3
2014-03-09 15:34:22.656,4.38,22.199999,-42.059998
2014-03-09 15:34:22.676,4.74,22.02,-42.0
2014-03-09 15:34:22.696,5.16,21.84,-42.0
2014-03-09 15:34:22.716,4.98,21.06,-42.3
2014-03-09 15:34:22.741,4.62,20.279999,-42.6
2014-03-09 15:34:22.757,4.5,19.32,-43.02
2014-03-09 15:34:22.777,4.02,18.3,-43.379997
2014-03-09 15:34:22.797,3.4199998,17.46,-43.739998
2014-03-09 15:34:22.817,3.24,16.92,-44.28
2014-03-09 15:34:22.838,2.7,16.56,-44.64
2014-03-09 15:34:22.858,2.1,16.08,-45.0
2014-03-09 15:34:22.880,1.62,15.9,-45.42
2014-03-09 15:34:22.898,1.26,15.599999,-45.78
2014-03-09 15:34:22.915,0.17999999,15.299999,-45.719997
2014-03-09 15:34:22.940,-0.78,15.179999,-45.84
2014-03-09 15:34:22.955,-2.04,14.94,-45.719997
2014-03-09 15:34:22.976,-3.54,14.34,-45.6
2014-03-09 15:34:22.996,-4.8599997,13.86,-45.36
2014-03-09 15:34:23.016,-6.06,13.44,-45.0
2014-03-09 15:34:23.036,-6.96,12.719999,-44.579998
2014-03-09 15:34:23.056,-7.98,12.3,-44.34
2014-03-09 15:34:23.076,-8.4,11.82,-44.399998
2014-03-09 15:34:23.098,-8.88,11.34,-44.1
2014-03-09 15:34:23.116,-8.88,10.74,-44.04
2014-03-09 15:34:23.136,-8.94,10.0199995,-44.16
2014-03-09 15:34:23.157,-9.0,9.0,-44.34
2014-03-09 15:34:23.177,-9.0,7.56,-44.579998
2014-03-09 15:34:23.197,-9.12,6.12,-44.879997
2014-03-09 15:34:23.217,-9.42,4.14,-45.0
