Date,xsin(theta/2),ysin(theta/2),zsin(theta/2)
2014-03-09 15:34:16.090,0.24887143,0.08840753,0.36002624
2014-03-09 15:34:16.110,0.24549045,0.08416454,0.3641108
2014-03-09 15:34:16.131,0.24189521,0.08431366,0.36643007
2014-03-09 15:34:16.154,0.24030212,0.08746727,0.36700293
2014-03-09 15:34:16.171,0.24098995,0.09162254,0.36690566
2014-03-09 15:34:16.191,0.24249882,0.09525479,0.36654258
2014-03-09 15:34:16.211,0.24295539,0.09766494,0.36625305
2014-03-09 15:34:16.238,0.24244566,0.099705264,0.36627954
2014-03-09 15:34:16.251,0.24261755,0.10204577,0.3661088
2014-03-09 15:34:16.271,0.2445357,0.10379488,0.365431
2014-03-09 15:34:16.292,0.24728422,0.10490835,0.36403313
2014-03-09 15:34:16.311,0.24818449,0.104228966,0.36290786
2014-03-09 15:34:16.332,0.24789533,0.10394946,0.3622774
2014-03-09 15:34:16.351,0.24647518,0.103800416,0.36225945
2014-03-09 15:34:16.374,0.24524796,0.10311207,0.3627864
2014-03-09 15:34:16.399,0.24586865,0.10136411,0.36320797
2014-03-09 15:34:16.411,0.24716552,0.09862607,0.362899
2014-03-09 15:34:16.435,0.24806741,0.096625224,0.3627126
2014-03-09 15:34:16.453,0.24763241,0.095958695,0.36332232
2014-03-09 15:34:16.476,0.24690767,0.096919686,0.36414135
2014-03-09 15:34:16.496,0.24675097,0.097112544,0.36504826
2014-03-09 15:34:16.517,0.24753696,0.09625731,0.3650317
2014-03-09 15:34:16.547,0.24851157,0.094959706,0.36452857
2014-03-09 15:34:16.557,0.24820915,0.094267316,0.36449265
2014-03-09 15:34:16.574,0.24706128,0.09507879,0.36533436
2014-03-09 15:34:16.594,0.24492809,0.09634988,0.36677358
2014-03-09 15:34:16.610,0.24310666,0.09736294,0.36776847
2014-03-09 15:34:16.630,0.24178545,0.0973836,0.36821336
2014-03-09 15:34:16.650,0.24154454,0.09664113,0.3680997
2014-03-09 15:34:16.676,0.24183632,0.096069925,0.36789328
2014-03-09 15:34:16.691,0.24095874,0.09607766,0.36775815
2014-03-09 15:34:16.723,0.23603696,0.09525571,0.36850578
2014-03-09 15:34:16.743,0.2311771,0.09378809,0.3694444
2014-03-09 15:34:16.762,0.22871244,0.093091235,0.37014332
2014-03-09 15:34:16.786,0.22766611,0.09207629,0.37034035
2014-03-09 15:34:16.815,0.22676784,0.09001792,0.3696437
2014-03-09 15:34:16.830,0.22535567,0.087583125,0.36866158
2014-03-09 15:34:16.849,0.22328517,0.0858993,0.3679981
2014-03-09 15:34:16.867,0.22202025,0.08527832,0.36767942
2014-03-09 15:34:16.887,0.22180584,0.08538333,0.3677264
2014-03-09 15:34:16.907,0.22286686,0.08617452,0.36756173
2014-03-09 15:34:16.927,0.22355235,0.08621762,0.36709285
2014-03-09 15:34:16.948,0.2234059,0.08506904,0.366439
2014-03-09 15:34:16.968,0.22307597,0.0838188,0.36613247
2014-03-09 15:34:16.989,0.22340909,0.08290792,0.36638695
2014-03-09 15:34:17.007,0.22506027,0.08266597,0.36683547
2014-03-09 15:34:17.027,0.22685088,0.08193497,0.36687145
2014-03-09 15:34:17.048,0.227506,0.07988595,0.36625102
2014-03-09 15:34:17.068,0.22605185,0.077823214,0.36554354
2014-03-09 15:34:17.087,0.22294009,0.07664322,0.3646146
2014-03-09 15:34:17.109,0.22261217,0.0768976,0.36321935
2014-03-09 15:34:17.150,0.22799665,0.08280299,0.35949856
2014-03-09 15:34:17.167,0.2495995,0.09708739,0.35090724
2014-03-09 15:34:17.175,0.22981657,0.09552415,0.33782992
2014-03-09 15:34:17.181,0.107821114,0.062384985,0.32264706
2014-03-09 15:34:17.202,-0.052446146,0.00567807,0.3458925
2014-03-09 15:34:17.221,-0.077832334,-0.028064039,0.37123504
2014-03-09 15:34:17.242,-0.092705764,-0.05651519,0.39070997
2014-03-09 15:34:17.261,-0.07026056,-0.06806791,0.40076914
2014-03-09 15:34:17.283,-0.060673747,-0.07107485,0.40355286
2014-03-09 15:34:17.306,-0.082946,-0.072910905,0.40115547
2014-03-09 15:34:17.322,-0.1025649,-0.06806458,0.39843157
2014-03-09 15:34:17.343,-0.10889884,-0.06583176,0.39485204
2014-03-09 15:34:17.363,-0.08372599,-0.08895446,0.39511475
2014-03-09 15:34:17.391,-0.05677143,-0.10149211,0.39309978
2014-03-09 15:34:17.407,-0.03596357,-0.09248568,0.39030442
2014-03-09 15:34:17.427,-0.04357298,-0.074572936,0.38831282
2014-03-09 15:34:17.449,-0.067916654,-0.061920207,0.38873586
2014-03-09 15:34:17.467,-0.06328382,-0.047057267,0.38825604
2014-03-09 15:34:17.487,-0.016808659,-0.0031829034,0.38018462
2014-03-09 15:34:17.507,0.048926767,0.013531511,0.36776832
2014-03-09 15:34:17.527,0.08050261,0.00839929,0.3588447
2014-03-09 15:34:17.551,0.09872909,0.016858263,0.35203025
2014-03-09 15:34:17.568,0.12618305,0.035939865,0.34334096
2014-03-09 15:34:17.587,0.15527791,0.046460316,0.3357123
2014-03-09 15:34:17.607,0.1884143,0.052526716,0.3274434
2014-03-09 15:34:17.636,0.21622118,0.054612428,0.3182909
2014-03-09 15:34:17.651,0.22242495,0.05236732,0.3107708
2014-03-09 15:34:17.671,0.21731105,0.04896985,0.30700645
2014-03-09 15:34:17.687,0.21377169,0.04877994,0.30517003
2014-03-09 15:34:17.712,0.21188809,0.048932407,0.3048323
2014-03-09 15:34:17.727,0.21277992,0.04918923,0.30475137
2014-03-09 15:34:17.748,0.21460915,0.049288392,0.30441433
2014-03-09 15:34:17.767,0.21289375,0.047852684,0.30589217
2014-03-09 15:34:17.790,0.21213658,0.0468384,0.30889454
2014-03-09 15:34:17.807,0.2111183,0.046186112,0.3125681
2014-03-09 15:34:17.828,0.20962802,0.046692584,0.31534496
2014-03-09 15:34:17.850,0.20737018,0.05653378,0.3162761
2014-03-09 15:34:17.867,0.21154523,0.06729873,0.31597143
2014-03-09 15:34:17.923,0.22820792,0.07744545,0.31564283
2014-03-09 15:34:17.933,0.24683233,0.08569182,0.31597623
2014-03-09 15:34:17.935,0.25882375,0.09302762,0.31613415
2014-03-09 15:34:17.956,0.26126164,0.09442818,0.3171242
2014-03-09 15:34:17.965,0.25897247,0.09303737,0.31891286
2014-03-09 15:34:17.983,0.2561731,0.093458794,0.32006162
2014-03-09 15:34:18.001,0.25353292,0.09299591,0.3214425
2014-03-09 15:34:18.026,0.25065437,0.09640979,0.32276654
2014-03-09 15:34:18.051,0.24882632,0.101420835,0.3236156
2014-03-09 15:34:18.064,0.24715146,0.1072277,0.32415274
2014-03-09 15:34:18.082,0.24818647,0.111833096,0.32503405
2014-03-09 15:34:18.103,0.24727125,0.115242794,0.32631046
2014-03-09 15:34:18.122,0.24627729,0.11690543,0.3273023
2014-03-09 15:34:18.142,0.24371757,0.11450313,0.32723907
2014-03-09 15:34:18.162,0.24145235,0.10946811,0.32634833
2014-03-09 15:34:18.184,0.24033923,0.10311841,0.32580405
2014-03-09 15:34:18.206,0.23947765,0.09817677,0.32679713
2014-03-09 15:34:18.226,0.23755835,0.09451495,0.329267
2014-03-09 15:34:18.248,0.23728986,0.0931035,0.33166015
2014-03-09 15:34:18.270,0.23607582,0.09101889,0.332461
2014-03-09 15:34:18.289,0.23543389,0.08870572,0.33126295
2014-03-09 15:34:18.308,0.23586641,0.090096675,0.32883868
2014-03-09 15:34:18.324,0.23716947,0.09157001,0.32632887
2014-03-09 15:34:18.343,0.23760864,0.09177057,0.32439017
2014-03-09 15:34:18.362,0.23738472,0.091230564,0.32311854
2014-03-09 15:34:18.383,0.23535492,0.0913491,0.3224402
2014-03-09 15:34:18.403,0.23251082,0.09062007,0.32301736
2014-03-09 15:34:18.423,0.22953261,0.088607356,0.3243181
2014-03-09 15:34:18.445,0.22709057,0.086346656,0.32575545
2014-03-09 15:34:18.462,0.22546476,0.08566012,0.32637626
2014-03-09 15:34:18.484,0.22615217,0.085380584,0.3267312
2014-03-09 15:34:18.502,0.22825062,0.0855584,0.327291
2014-03-09 15:34:18.522,0.22957157,0.08577988,0.32780755
2014-03-09 15:34:18.548,0.22921832,0.086235456,0.3281386
2014-03-09 15:34:18.563,0.22809207,0.08640371,0.3282352
2014-03-09 15:34:18.592,0.22743596,0.086445324,0.32831603
2014-03-09 15:34:18.602,0.22728646,0.08638725,0.32840943
2014-03-09 15:34:18.626,0.22720839,0.086385034,0.3282305
2014-03-09 15:34:18.645,0.22678809,0.08537146,0.32763872
2014-03-09 15:34:18.662,0.22547844,0.08393764,0.32718337
2014-03-09 15:34:18.681,0.22394384,0.08271701,0.32715103
2014-03-09 15:34:18.702,0.22323376,0.08172861,0.32748345
2014-03-09 15:34:18.731,0.2232614,0.079863034,0.32817093
