Date,Light(lux)
2014-03-09 15:34:15.957,10240.0
2014-03-09 15:34:23.789,640.0
2014-03-09 15:34:23.971,2600.0
2014-03-09 15:34:24.144,10240.0
2014-03-09 15:34:25.187,2600.0
2014-03-09 15:34:25.561,10240.0
2014-03-09 15:34:26.586,2600.0
2014-03-09 15:34:27.640,1280.0
2014-03-09 15:34:28.863,640.0
2014-03-09 15:34:29.567,1280.0
2014-03-09 15:34:30.263,640.0
2014-03-09 15:34:30.786,320.0
2014-03-09 15:34:30.964,640.0
2014-03-09 15:34:31.145,1280.0
2014-03-09 15:34:31.315,10240.0
2014-03-09 15:34:42.015,2600.0
2014-03-09 15:34:42.156,1280.0
2014-03-09 15:34:42.856,640.0
2014-03-09 15:34:43.034,320.0
2014-03-09 15:34:43.384,1280.0
2014-03-09 15:34:43.733,2600.0
2014-03-09 15:34:44.619,1280.0
2014-03-09 15:34:47.230,640.0
2014-03-09 15:34:48.277,1280.0
2014-03-09 15:34:48.626,640.0
2014-03-09 15:34:48.810,1280.0
2014-03-09 15:34:48.977,640.0
2014-03-09 15:34:49.151,1280.0
2014-03-09 15:34:49.507,640.0
2014-03-09 15:34:50.030,1280.0
2014-03-09 15:34:50.375,640.0
2014-03-09 15:34:50.730,320.0
2014-03-09 15:34:50.913,1280.0
2014-03-09 15:34:51.252,640.0
2014-03-09 15:34:51.604,1280.0
2014-03-09 15:34:52.136,640.0
2014-03-09 15:34:52.306,320.0
2014-03-09 15:34:52.480,160.0
2014-03-09 15:34:52.650,320.0
2014-03-09 15:34:52.831,1280.0
2014-03-09 15:34:53.525,640.0
2014-03-09 15:34:53.705,1280.0
2014-03-09 15:34:54.399,320.0
2014-03-09 15:34:54.753,10.0
2014-03-09 15:34:55.106,90.0
2014-03-09 15:34:55.276,320.0
2014-03-09 15:34:55.448,640.0
2014-03-09 15:34:55.624,320.0
2014-03-09 15:34:59.296,160.0
2014-03-09 15:34:59.476,320.0
2014-03-09 15:34:59.823,640.0
2014-03-09 15:35:00.042,320.0
2014-03-09 15:35:00.523,640.0
2014-03-09 15:35:00.871,2600.0
2014-03-09 15:35:01.061,640.0
2014-03-09 15:35:01.223,320.0
2014-03-09 15:35:01.394,640.0
2014-03-09 15:35:01.568,320.0
2014-03-09 15:35:01.743,160.0
2014-03-09 15:35:01.923,225.0
2014-03-09 15:35:02.106,160.0
2014-03-09 15:35:02.269,225.0
2014-03-09 15:35:02.622,40.0
2014-03-09 15:35:02.970,10.0
2014-03-09 15:35:03.320,40.0
2014-03-09 15:35:03.493,90.0
2014-03-09 15:35:03.668,10.0
2014-03-09 15:35:03.846,225.0
2014-03-09 15:35:04.019,320.0
2014-03-09 15:35:04.198,640.0
2014-03-09 15:35:04.369,1280.0
2014-03-09 15:35:04.894,10240.0
2014-03-09 15:35:05.767,1280.0
2014-03-09 15:35:05.945,10240.0
2014-03-09 15:35:06.119,2600.0
2014-03-09 15:35:06.642,1280.0
2014-03-09 15:35:07.002,640.0
2014-03-09 15:35:07.172,320.0
2014-03-09 15:35:08.223,225.0
2014-03-09 15:35:08.406,320.0
2014-03-09 15:35:09.270,640.0
2014-03-09 15:35:09.444,2600.0
2014-03-09 15:35:09.617,10240.0
2014-03-09 15:35:09.970,320.0
2014-03-09 15:35:10.317,640.0
2014-03-09 15:35:10.493,1280.0
2014-03-09 15:35:10.842,640.0
2014-03-09 15:35:11.024,320.0
2014-03-09 15:35:13.120,640.0
2014-03-09 15:35:13.467,320.0
2014-03-09 15:35:22.576,225.0
2014-03-09 15:35:22.753,10240.0
