Date,x(m/s^2),y(m/s^2),z(m/s^2)
2014-03-09 15:34:16.089,0.20584363,4.991855,8.438565
2014-03-09 15:34:16.109,0.27661008,4.9078107,8.48571
2014-03-09 15:34:16.129,0.25929186,4.8497257,8.519585
2014-03-09 15:34:16.149,0.19540188,4.844913,8.524026
2014-03-09 15:34:16.170,0.12801147,4.8840613,8.502937
2014-03-09 15:34:16.190,0.07466084,4.9329333,8.475316
2014-03-09 15:34:16.210,0.034850802,4.9564376,8.461849
2014-03-09 15:34:16.231,-0.004225509,4.9617543,8.458803
2014-03-09 15:34:16.250,-0.044305444,4.9800897,8.447908
2014-03-09 15:34:16.270,-0.06349208,5.0227027,8.422519
2014-03-09 15:34:16.291,-0.06940452,5.074365,8.391449
2014-03-09 15:34:16.310,-0.057159666,5.0843625,8.385485
2014-03-09 15:34:16.330,-0.058145754,5.077824,8.3894415
2014-03-09 15:34:16.350,-0.06656506,5.0538898,8.403818
2014-03-09 15:34:16.371,-0.061107088,5.029553,8.4184475
2014-03-09 15:34:16.395,-0.023757601,5.0281415,8.419478
2014-03-09 15:34:16.409,0.03179244,5.0311117,8.417678
2014-03-09 15:34:16.433,0.07226576,5.0325294,8.416581
2014-03-09 15:34:16.451,0.08391148,5.0210476,8.4233265
2014-03-09 15:34:16.472,0.06633169,5.015612,8.426722
2014-03-09 15:34:16.493,0.06688757,5.0142884,8.427505
2014-03-09 15:34:16.511,0.087627575,5.0213175,8.423127
2014-03-09 15:34:16.544,0.114724986,5.0285068,8.418512
2014-03-09 15:34:16.554,0.12418796,5.0190353,8.424027
2014-03-09 15:34:16.571,0.106063545,5.00577,8.432164
2014-03-09 15:34:16.592,0.07570538,4.979593,8.447977
2014-03-09 15:34:16.609,0.049657475,4.956802,8.461562
2014-03-09 15:34:16.629,0.041544747,4.9355,8.474049
2014-03-09 15:34:16.649,0.051897217,4.9266195,8.479157
2014-03-09 15:34:16.674,0.06289762,4.927536,8.47855
2014-03-09 15:34:16.690,0.055240825,4.913352,8.486831
2014-03-09 15:34:16.722,0.03555442,4.8276787,8.53596
2014-03-09 15:34:16.742,0.028514294,4.738276,8.585936
2014-03-09 15:34:16.761,0.025263328,4.693103,8.610721
2014-03-09 15:34:16.783,0.03585063,4.669007,8.623773
2014-03-09 15:34:16.811,0.061114687,4.640265,8.639132
2014-03-09 15:34:16.826,0.08763152,4.6005177,8.660134
2014-03-09 15:34:16.846,0.09779344,4.5549436,8.684083
2014-03-09 15:34:16.863,0.09737828,4.529827,8.697218
2014-03-09 15:34:16.884,0.094145,4.5269856,8.698731
2014-03-09 15:34:16.903,0.087583885,4.54994,8.686814
2014-03-09 15:34:16.924,0.08968071,4.5616174,8.680668
2014-03-09 15:34:16.945,0.10532062,4.551483,8.685809
2014-03-09 15:34:16.963,0.12312486,4.5375934,8.6928425
2014-03-09 15:34:16.984,0.14286827,4.536896,8.692902
2014-03-09 15:34:17.004,0.16190994,4.5624866,8.679165
2014-03-09 15:34:17.023,0.18847996,4.587082,8.665653
2014-03-09 15:34:17.044,0.22610666,4.5841236,8.666318
2014-03-09 15:34:17.063,0.24760903,4.546299,8.685636
2014-03-09 15:34:17.083,0.24017143,4.487023,8.716612
2014-03-09 15:34:17.105,0.22630072,4.4836636,8.71871
2014-03-09 15:34:17.147,0.1442248,4.6132016,8.652626
2014-03-09 15:34:17.164,0.0092231715,5.0608788,8.399868
2014-03-09 15:34:17.174,-0.17787191,4.72439,8.591793
2014-03-09 15:34:17.180,-0.46575361,2.3790038,9.502305
2014-03-09 15:34:17.200,-0.4601258,-0.925101,9.7520685
2014-03-09 15:34:17.220,-0.057647232,-1.6161603,9.672388
2014-03-09 15:34:17.241,0.30280602,-2.0951378,9.575443
2014-03-09 15:34:17.260,0.66386336,-1.7903565,9.618955
2014-03-09 15:34:17.282,0.78855747,-1.6456732,9.635369
2014-03-09 15:34:17.305,0.6477433,-2.052998,9.567445
2014-03-09 15:34:17.321,0.41185632,-2.3602715,9.509462
2014-03-09 15:34:17.342,0.3314785,-2.453226,9.489055
