Date,x(uT),y(uT),z(uT)
2014-03-09 13:05:33.490,-6.06,2.82,-48.42
2014-03-09 13:05:33.491,-6.3599997,3.48,-48.899998
2014-03-09 13:05:33.492,-7.14,3.6,-49.02
2014-03-09 13:05:33.493,-7.14,2.8799999,-49.079998
2014-03-09 13:05:33.495,-7.62,2.9399998,-49.379997
2014-03-09 13:05:33.529,-7.56,2.58,-49.2
2014-03-09 13:05:33.530,-7.2599998,2.3999999,-49.559998
2014-03-09 13:05:33.530,-7.08,2.7,-49.32
2014-03-09 13:05:33.531,-7.3199997,2.6399999,-49.2
2014-03-09 13:05:33.537,-7.3799996,2.52,-49.14
2014-03-09 13:05:33.558,-7.44,2.28,-49.26
2014-03-09 13:05:33.558,-7.5,2.3999999,-49.14
2014-03-09 13:05:33.563,-7.2599998,2.1599998,-49.079998
2014-03-09 13:05:33.574,-7.5,2.22,-49.02
2014-03-09 13:05:33.584,-7.56,1.9799999,-48.899998
2014-03-09 13:05:33.594,-7.74,1.8,-48.719997
2014-03-09 13:05:33.604,-7.9199996,1.74,-48.899998
2014-03-09 13:05:33.614,-8.04,1.56,-48.84
2014-03-09 13:05:33.623,-8.04,1.62,-48.899998
2014-03-09 13:05:33.634,-8.04,1.68,-48.84
2014-03-09 13:05:33.644,-8.4,1.68,-48.78
2014-03-09 13:05:33.654,-8.46,1.62,-48.78
2014-03-09 13:05:33.664,-8.7,1.68,-48.899998
2014-03-09 13:05:33.674,-8.94,1.68,-49.02
2014-03-09 13:05:33.685,-8.94,1.62,-48.899998
2014-03-09 13:05:33.694,-9.24,1.56,-48.6
2014-03-09 13:05:33.704,-9.48,1.4399999,-48.48
2014-03-09 13:05:33.714,-9.66,1.3199999,-48.42
2014-03-09 13:05:33.724,-9.84,1.4399999,-48.48
2014-03-09 13:05:33.735,-10.0199995,1.56,-48.48
2014-03-09 13:05:33.745,-10.08,1.74,-48.239998
2014-03-09 13:05:33.755,-10.139999,1.8,-48.059998
2014-03-09 13:05:33.766,-10.32,1.8,-48.059998
2014-03-09 13:05:33.775,-10.38,1.86,-48.18
2014-03-09 13:05:33.786,-10.679999,2.1,-48.0
2014-03-09 13:05:33.796,-10.92,2.28,-47.94
2014-03-09 13:05:33.806,-11.219999,2.22,-47.82
2014-03-09 13:05:33.816,-11.28,2.1,-47.64
2014-03-09 13:05:33.826,-11.58,1.92,-47.579998
2014-03-09 13:05:33.836,-11.82,1.92,-47.52
2014-03-09 13:05:33.846,-12.12,1.86,-47.399998
2014-03-09 13:05:33.856,-12.179999,1.92,-47.28
2014-03-09 13:05:33.867,-12.48,1.74,-47.219997
2014-03-09 13:05:33.876,-12.54,1.5,-47.28
2014-03-09 13:05:33.887,-12.54,1.3199999,-47.219997
2014-03-09 13:05:33.899,-12.599999,1.4399999,-47.16
2014-03-09 13:05:33.908,-12.599999,1.5,-47.039997
2014-03-09 13:05:33.917,-12.599999,1.4399999,-47.219997
2014-03-09 13:05:33.928,-12.599999,1.3199999,-47.1
2014-03-09 13:05:33.953,-12.9,1.14,-47.039997
2014-03-09 13:05:33.975,-13.08,1.02,-46.86
2014-03-09 13:05:33.994,-13.259999,1.02,-46.739998
2014-03-09 13:05:34.020,-13.559999,0.9,-46.739998
2014-03-09 13:05:34.036,-13.5,0.9,-47.039997
2014-03-09 13:05:34.053,-13.62,1.14,-47.219997
2014-03-09 13:05:34.074,-13.799999,1.3199999,-47.64
2014-03-09 13:05:34.092,-13.86,1.5,-47.76
2014-03-09 13:05:34.113,-13.98,1.68,-47.94
2014-03-09 13:05:34.132,-13.86,2.58,-48.899998
2014-03-09 13:05:34.152,-14.04,2.6399999,-49.14
2014-03-09 13:05:34.173,-13.98,3.4199998,-50.16
2014-03-09 13:05:34.196,-14.5199995,4.02,-50.34
2014-03-09 13:05:34.219,-14.639999,4.2,-50.16
2014-03-09 13:05:34.237,-14.82,4.56,-49.739998
2014-03-09 13:05:34.260,-14.94,4.7999997,-49.44
2014-03-09 13:05:34.272,-14.82,4.98,-49.32
2014-03-09 13:05:34.295,-15.12,4.62,-48.42
2014-03-09 13:05:34.317,-15.059999,4.98,-48.3
2014-03-09 13:05:34.339,-15.24,4.5,-47.34
2014-03-09 13:05:34.383,-15.36,4.14,-46.739998
2014-03-09 13:05:34.402,-15.54,4.3199997,-46.62
2014-03-09 13:05:34.415,-15.599999,4.44,-46.739998
2014-03-09 13:05:34.419,-15.96,4.5,-46.92
2014-03-09 13:05:34.452,-16.08,4.62,-46.8
2014-03-09 13:05:34.472,-16.32,4.68,-46.86
2014-03-09 13:05:34.492,-16.56,4.7999997,-46.62
2014-03-09 13:05:34.521,-16.68,4.8599997,-46.44
2014-03-09 13:05:34.538,-16.68,5.1,-46.559998
2014-03-09 13:05:34.559,-16.92,4.92,-46.559998
2014-03-09 13:05:34.577,-16.92,4.7999997,-46.5
2014-03-09 13:05:34.620,-16.74,4.56,-46.379997
2014-03-09 13:05:34.661,-16.619999,4.5,-46.379997
