Date,AngularSpeedX,AngularSpeedY,AngularSpeedZ
2014-03-09 13:05:35.167,-0.02321288,-0.014660766,0.015882496
2014-03-09 13:05:35.187,0.064751714,-0.042760566,-0.015882496
2014-03-09 13:05:35.208,0.021991149,-0.035430185,0.028099801
2014-03-09 13:05:35.227,-0.07819075,-0.0061086523,0.04153884
2014-03-09 13:05:35.247,-0.037873644,0.0036651916,0.037873644
2014-03-09 13:05:35.267,0.012217305,-0.10140363,0.017104227
2014-03-09 13:05:35.287,0.1001819,-0.12339478,0.014660766
2014-03-09 13:05:35.307,0.1600467,-0.05009095,0.04520403
2014-03-09 13:05:35.327,0.080634214,0.008552114,0.1001819
2014-03-09 13:05:35.348,-0.119729586,-0.0720821,0.064751714
2014-03-09 13:05:35.368,-0.09162979,-0.05131268,0.035430185
2014-03-09 13:05:35.394,0.13561209,-0.10140363,0.07452556
2014-03-09 13:05:35.408,0.23090707,-0.10629055,0.07696902
2014-03-09 13:05:35.427,0.23701571,-0.047647487,0.04642576
2014-03-09 13:05:35.448,0.10995574,-0.012217305,0.02076942
2014-03-09 13:05:35.467,-0.061086524,-0.02076942,-0.002443461
2014-03-09 13:05:35.487,-0.02565634,-0.05375614,-0.007330383
2014-03-09 13:05:35.509,0.16615535,-0.05375614,-0.0012217305
2014-03-09 13:05:35.528,0.24312437,-0.02076942,0.009773844
2014-03-09 13:05:35.547,0.3042109,-0.02076942,0.0061086523
2014-03-09 13:05:35.567,0.12461651,-0.0061086523,0.015882496
2014-03-09 13:05:35.589,-0.06719518,-0.047647487,-0.004886922
2014-03-09 13:05:35.607,-0.080634214,-0.057421334,-0.02321288
2014-03-09 13:05:35.627,0.029321533,-0.05375614,-0.007330383
2014-03-09 13:05:35.648,0.12705997,-0.06352998,0.014660766
2014-03-09 13:05:35.667,0.13194689,-0.030543262,0.065973446
2014-03-09 13:05:35.687,0.064751714,0.028099801,0.09162979
2014-03-09 13:05:35.707,-0.0036651916,0.008552114,0.04520403
2014-03-09 13:05:35.728,0.0036651916,-0.0061086523,0.009773844
2014-03-09 13:05:35.748,0.065973446,-0.012217305,0.008552114
2014-03-09 13:05:35.768,0.039095376,0.002443461,0.04153884
2014-03-09 13:05:35.788,-0.052534413,0.008552114,0.05497787
2014-03-09 13:05:35.807,-0.089186326,-0.015882496,0.06841691
2014-03-09 13:05:35.828,-0.07696902,-0.04886922,0.04886922
2014-03-09 13:05:35.848,-0.02687807,-0.010995574,0.056199603
2014-03-09 13:05:35.870,-0.04520403,0.029321533,0.081855945
2014-03-09 13:05:35.887,-0.087964594,0.007330383,0.08552113
2014-03-09 13:05:35.907,-0.111177474,-0.02443461,0.06963864
2014-03-09 13:05:35.931,-0.105068825,-0.039095376,0.04520403
2014-03-09 13:05:35.948,-0.07696902,-0.028099801,0.042760566
2014-03-09 13:05:35.967,-0.06352998,0.021991149,0.07086037
2014-03-09 13:05:35.988,-0.04886922,0.014660766,0.08674286
2014-03-09 13:05:36.009,-0.034208454,0.012217305,0.05375614
2014-03-09 13:05:36.027,-0.015882496,-0.0061086523,0.03176499
2014-03-09 13:05:36.048,-0.02321288,-0.02321288,0.02565634
2014-03-09 13:05:36.068,-0.029321533,-0.02443461,0.028099801
2014-03-09 13:05:36.091,-0.043982297,-0.02687807,0.029321533
