Date,accelX-gX(m/s^2),accelY-gY(m/s^2),accelZ-gZ(m/s^2)
2014-03-09 13:05:33.597,-3.6008794,1.7621324,9.155427
2014-03-09 13:05:33.617,-3.2944214,1.9153614,9.040505
2014-03-09 13:05:33.637,-3.217807,1.9153614,8.925584
2014-03-09 13:05:33.657,-3.1028855,1.9153614,8.887277
2014-03-09 13:05:33.678,-3.064578,1.9536686,8.848969
2014-03-09 13:05:33.697,-2.9879637,1.8387469,9.078813
2014-03-09 13:05:33.717,-2.9113493,1.7238252,9.040505
2014-03-09 13:05:33.737,-2.9113493,1.6472107,9.002198
2014-03-09 13:05:33.757,-2.873042,1.7621324,8.887277
2014-03-09 13:05:33.778,-2.681506,1.9919758,8.887277
2014-03-09 13:05:33.797,-2.7964275,2.0685902,9.078813
2014-03-09 13:05:33.817,-2.873042,2.0685902,9.461885
2014-03-09 13:05:33.837,-2.719813,1.8387469,9.576807
2014-03-09 13:05:33.858,-2.6431987,1.6472107,9.500193
2014-03-09 13:05:33.878,-2.566584,1.7238252,9.308656
2014-03-09 13:05:33.900,-2.336741,1.8770541,9.155427
2014-03-09 13:05:33.918,-2.528277,2.1068976,9.308656
2014-03-09 13:05:33.937,-2.4899697,1.9153614,9.576807
2014-03-09 13:05:33.962,-2.336741,1.6472107,9.500193
2014-03-09 13:05:33.978,-2.4133554,1.7621324,9.423578
2014-03-09 13:05:34.000,-2.183512,1.9153614,9.346964
2014-03-09 13:05:34.022,-2.1068976,1.9536686,9.308656
2014-03-09 13:05:34.037,-2.2218192,2.0685902,9.385271
2014-03-09 13:05:34.058,-2.336741,1.9919758,9.500193
2014-03-09 13:05:34.079,-2.2218192,1.685518,9.461885
2014-03-09 13:05:34.099,-2.183512,1.7238252,9.270349
2014-03-09 13:05:34.117,-2.183512,1.9153614,9.308656
2014-03-09 13:05:34.138,-2.030283,1.8770541,9.346964
2014-03-09 13:05:34.157,-2.1452048,1.7238252,9.500193
2014-03-09 13:05:34.177,-2.1452048,1.6089035,9.5385
2014-03-09 13:05:34.198,-2.1068976,1.4556746,9.500193
2014-03-09 13:05:34.222,-2.030283,1.4939818,9.500193
2014-03-09 13:05:34.240,-1.8387469,1.4939818,9.270349
2014-03-09 13:05:34.261,-1.9536686,1.4939818,9.308656
2014-03-09 13:05:34.278,-1.9919758,1.4556746,9.461885
2014-03-09 13:05:34.298,-1.9153614,1.0726024,9.768343
2014-03-09 13:05:34.318,-1.9536686,1.1492168,9.80665
2014-03-09 13:05:34.340,-1.9536686,1.2258313,9.691729
2014-03-09 13:05:34.388,-1.8770541,1.2258313,9.576807
2014-03-09 13:05:34.404,-2.0685902,1.1492168,9.653421
2014-03-09 13:05:34.416,-1.9919758,1.1492168,9.653421
2014-03-09 13:05:34.420,-1.8770541,1.1492168,9.461885
2014-03-09 13:05:34.441,-1.9536686,1.4939818,9.500193
2014-03-09 13:05:34.458,-1.8770541,1.340753,9.653421
2014-03-09 13:05:34.477,-1.8387469,1.1875241,9.730036
2014-03-09 13:05:34.498,-1.8770541,1.1492168,9.691729
2014-03-09 13:05:34.524,-1.8770541,1.1875241,9.576807
2014-03-09 13:05:34.541,-1.7621324,1.3024458,9.576807
2014-03-09 13:05:34.561,-1.8004397,1.3790601,9.5385
2014-03-09 13:05:34.641,-1.8387469,1.340753,9.576807
2014-03-09 13:05:34.661,-1.8387469,1.4173675,9.730036
2014-03-09 13:05:34.667,-1.8004397,1.4173675,9.768343
2014-03-09 13:05:34.672,-1.7621324,1.4173675,9.615114
2014-03-09 13:05:34.677,-1.8770541,1.4939818,9.5385
2014-03-09 13:05:34.697,-1.8770541,1.4556746,9.576807
2014-03-09 13:05:34.719,-1.8770541,1.532289,9.615114
2014-03-09 13:05:34.738,-1.7621324,1.4173675,9.5385
2014-03-09 13:05:34.764,-1.7621324,1.532289,9.615114
2014-03-09 13:05:34.777,-1.7621324,1.4939818,9.576807
2014-03-09 13:05:34.798,-1.7238252,1.532289,9.461885
2014-03-09 13:05:34.818,-1.7621324,1.532289,9.385271
2014-03-09 13:05:34.839,-1.685518,1.5705963,9.385271
2014-03-09 13:05:34.861,-1.7238252,1.6472107,9.461885
2014-03-09 13:05:34.878,-1.7621324,1.7238252,9.576807
2014-03-09 13:05:34.899,-1.7621324,1.6089035,9.653421
2014-03-09 13:05:34.918,-1.7238252,1.5705963,9.500193
2014-03-09 13:05:34.939,-1.7238252,1.685518,9.5385
2014-03-09 13:05:34.959,-1.6472107,1.7238252,9.576807
2014-03-09 13:05:34.978,-1.685518,1.8004397,9.615114
2014-03-09 13:05:35.000,-1.6472107,1.8387469,9.5385
2014-03-09 13:05:35.018,-1.6472107,1.8004397,9.385271
2014-03-09 13:05:35.041,-1.5705963,1.8387469,9.385271
2014-03-09 13:05:35.061,-1.5705963,1.8770541,9.423578
2014-03-09 13:05:35.079,-1.5705963,1.7238252,9.615114
2014-03-09 13:05:35.124,-1.4939818,1.7621324,9.615114
2014-03-09 13:05:35.130,-1.4939818,1.9153614,9.615114
2014-03-09 13:05:35.141,-1.4556746,1.9919758,9.500193
2014-03-09 13:05:35.161,-1.6089035,1.9919758,9.385271
2014-03-09 13:05:35.177,-1.6472107,1.9919758,9.423578
2014-03-09 13:05:35.197,-1.532289,1.7621324,9.576807
2014-03-09 13:05:35.217,-1.5705963,1.6472107,9.615114
2014-03-09 13:05:35.237,-1.6089035,1.8770541,9.423578
2014-03-09 13:05:35.257,-1.5705963,1.8770541,9.308656
2014-03-09 13:05:35.277,-1.6472107,1.9153614,9.500193
2014-03-09 13:05:35.297,-1.6472107,1.7238252,9.844957
2014-03-09 13:05:35.317,-1.5705963,1.7238252,9.730036
2014-03-09 13:05:35.337,-1.4939818,1.9153614,9.5385
2014-03-09 13:05:35.366,-1.5705963,2.183512,9.615114
2014-03-09 13:05:35.377,-1.4556746,1.9536686,9.270349
2014-03-09 13:05:35.400,-1.6472107,2.1068976,9.385271
2014-03-09 13:05:35.417,-1.6089035,2.1452048,9.615114
2014-03-09 13:05:35.445,-1.4939818,2.1068976,9.615114
2014-03-09 13:05:35.458,-1.4173675,2.1068976,9.5385
2014-03-09 13:05:35.480,-1.4173675,2.030283,9.461885
2014-03-09 13:05:35.500,-1.4556746,2.0685902,9.385271
2014-03-09 13:05:35.518,-1.532289,2.1068976,9.385271
2014-03-09 13:05:35.545,-1.532289,2.030283,9.461885
2014-03-09 13:05:35.557,-1.5705963,2.1068976,9.423578
2014-03-09 13:05:35.577,-1.4939818,2.1452048,9.308656
2014-03-09 13:05:35.598,-1.4939818,2.183512,9.385271
2014-03-09 13:05:35.617,-1.4556746,2.0685902,9.615114
2014-03-09 13:05:35.645,-1.532289,2.1068976,9.615114
2014-03-09 13:05:35.657,-1.5705963,2.1452048,9.615114
2014-03-09 13:05:35.678,-1.4939818,2.183512,9.615114
2014-03-09 13:05:35.698,-1.4556746,2.336741,9.346964
2014-03-09 13:05:35.722,-1.4939818,2.3750482,9.308656
2014-03-09 13:05:35.739,-1.532289,2.2218192,9.308656
2014-03-09 13:05:35.757,-1.532289,2.1068976,9.423578
2014-03-09 13:05:35.778,-1.532289,2.0685902,9.270349
2014-03-09 13:05:35.798,-1.5705963,2.1068976,9.270349
2014-03-09 13:05:35.822,-1.6089035,2.2218192,9.385271
2014-03-09 13:05:35.839,-1.4939818,2.1068976,9.615114
2014-03-09 13:05:35.859,-1.5705963,2.1452048,9.615114
2014-03-09 13:05:35.878,-1.5705963,2.2218192,9.461885
2014-03-09 13:05:35.898,-1.5705963,2.2601264,9.346964
2014-03-09 13:05:35.930,-1.4939818,2.2218192,9.461885
2014-03-09 13:05:35.941,-1.4556746,2.1452048,9.615114
2014-03-09 13:05:35.957,-1.4939818,2.1452048,9.691729
2014-03-09 13:05:35.977,-1.4556746,2.1068976,9.615114
2014-03-09 13:05:35.998,-1.532289,2.2984335,9.461885
2014-03-09 13:05:36.018,-1.4939818,2.2601264,9.385271
2014-03-09 13:05:36.038,-1.4939818,2.2218192,9.308656
2014-03-09 13:05:36.059,-1.532289,2.1452048,9.308656
2014-03-09 13:05:36.078,-1.4939818,2.0685902,9.423578
2014-03-09 13:05:36.104,-1.4556746,1.9919758,9.423578
2014-03-09 13:05:36.146,-1.5705963,2.1068976,9.346964
2014-03-09 13:05:36.151,-1.4556746,2.030283,9.615114
2014-03-09 13:05:36.157,-1.4556746,1.9536686,9.80665
2014-03-09 13:05:36.177,-1.4556746,1.9536686,9.768343
2014-03-09 13:05:36.198,-1.4939818,2.030283,9.576807
2014-03-09 13:05:36.218,-1.532289,2.2984335,9.385271
2014-03-09 13:05:36.243,-1.4939818,2.2218192,9.385271
2014-03-09 13:05:36.257,-1.4556746,2.1452048,9.423578
2014-03-09 13:05:36.277,-1.4556746,2.1068976,9.423578
2014-03-09 13:05:36.297,-1.532289,2.030283,9.615114
2014-03-09 13:05:36.317,-1.4556746,2.030283,9.615114
2014-03-09 13:05:36.338,-1.4939818,2.0685902,9.5385
2014-03-09 13:05:36.398,-1.5705963,2.1452048,9.461885
2014-03-09 13:05:36.416,-1.4556746,2.0685902,9.423578
2014-03-09 13:05:36.430,-1.4939818,2.0685902,9.500193
2014-03-09 13:05:36.441,-1.4939818,2.0685902,9.576807
2014-03-09 13:05:36.446,-1.4939818,2.0685902,9.500193
2014-03-09 13:05:36.457,-1.532289,2.030283,9.5385
2014-03-09 13:05:36.477,-1.4939818,2.030283,9.576807
2014-03-09 13:05:36.498,-1.4556746,2.0685902,9.500193
2014-03-09 13:05:36.518,-1.4939818,2.1068976,9.385271
2014-03-09 13:05:36.538,-1.4939818,2.2218192,9.576807
2014-03-09 13:05:36.558,-1.4556746,2.0685902,9.691729
2014-03-09 13:05:36.579,-1.4556746,1.9919758,9.653421
2014-03-09 13:05:36.600,-1.4939818,2.1068976,9.423578
2014-03-09 13:05:36.620,-1.3790601,2.336741,9.423578
2014-03-09 13:05:36.643,-1.340753,2.2984335,9.615114
2014-03-09 13:05:36.657,-1.340753,2.2218192,9.5385
2014-03-09 13:05:36.686,-1.3790601,2.2601264,9.385271
2014-03-09 13:05:36.702,-1.3024458,2.336741,9.461885
2014-03-09 13:05:36.717,-1.2641385,2.566584,9.461885
2014-03-09 13:05:36.737,-1.4939818,2.7581203,9.576807
2014-03-09 13:05:36.758,-2.6431987,2.9113493,11.377247
2014-03-09 13:05:36.777,-2.6048915,1.8387469,10.726024
2014-03-09 13:05:36.798,-2.2984335,0.91937345,9.270349
2014-03-09 13:05:36.817,-2.336741,0.45968673,8.197746
2014-03-09 13:05:36.838,-3.1794999,0.61291564,8.350976
2014-03-09 13:05:36.858,-3.6008794,0.49799395,8.6574335
2014-03-09 13:05:36.878,-3.8307228,0.49799395,9.270349
2014-03-09 13:05:36.902,-3.7924154,0.22984336,10.228029
2014-03-09 13:05:36.921,-3.6008794,0.22984336,9.040505
2014-03-09 13:05:36.938,-4.060566,-0.11492168,7.3549876
2014-03-09 13:05:36.963,-4.903325,-0.8810662,4.7500963
2014-03-09 13:05:36.979,-5.439626,-1.5705963,3.1028855
2014-03-09 13:05:37.001,-5.554548,-0.19153613,8.695741
2014-03-09 13:05:37.018,-7.240066,0.19153613,12.334928
2014-03-09 13:05:37.038,-8.42759,-0.80445176,13.292608
2014-03-09 13:05:37.058,-5.7843914,-1.2641385,10.534488
2014-03-09 13:05:37.084,-1.6472107,-2.566584,10.381259
2014-03-09 13:05:37.110,-1.4556746,-1.9919758,10.496181
2014-03-09 13:05:37.120,-0.842759,0.8810662,12.564771
2014-03-09 13:05:37.138,-0.5746084,4.060566,12.258312
2014-03-09 13:05:37.157,-0.34476504,3.6008794,10.189722
2014-03-09 13:05:37.177,0.076614454,3.064578,10.419566
2014-03-09 13:05:37.198,1.1875241,3.6391866,11.722012
2014-03-09 13:05:37.218,1.7621324,4.8267107,12.449849
2014-03-09 13:05:37.244,2.030283,4.903325,12.411542
2014-03-09 13:05:37.258,2.030283,5.0182467,12.488156
2014-03-09 13:05:37.278,1.8770541,5.0182467,11.683704
2014-03-09 13:05:37.300,1.7238252,5.631162,9.768343
2014-03-09 13:05:37.317,1.532289,5.363012,8.963891
2014-03-09 13:05:37.338,1.2258313,4.7884035,8.312668
2014-03-09 13:05:37.358,0.61291564,4.55856,8.274361
2014-03-09 13:05:37.377,0.30645782,4.3287168,7.967903
2014-03-09 13:05:37.402,-0.2681506,4.367024,7.0485296
2014-03-09 13:05:37.418,-0.34476504,4.6351743,6.435614
2014-03-09 13:05:37.438,-0.11492168,5.133168,6.205771
2014-03-09 13:05:37.458,0.2681506,5.631162,6.3589997
2014-03-09 13:05:37.478,0.15322891,5.746084,6.397307
2014-03-09 13:05:37.500,-0.076614454,5.7843914,6.090849
2014-03-09 13:05:37.520,-0.4213795,5.93762,5.5162406
2014-03-09 13:05:37.539,-0.2681506,6.588843,5.2863975
2014-03-09 13:05:37.559,0.0,6.8186865,5.7843914
2014-03-09 13:05:37.579,0.0,6.8569937,5.861006
2014-03-09 13:05:37.611,-0.38307226,7.0102224,4.6351743
2014-03-09 13:05:37.651,-0.38307226,7.1634517,4.4436383
2014-03-09 13:05:37.667,-0.49799395,7.240066,4.2521024
2014-03-09 13:05:37.676,-0.34476504,7.431602,4.673482
2014-03-09 13:05:37.678,-0.2681506,7.8146744,4.7884035
2014-03-09 13:05:37.702,-0.19153613,7.776367,4.9416323
2014-03-09 13:05:37.718,-0.38307226,7.776367,4.7500963
2014-03-09 13:05:37.739,-0.6895301,7.469909,4.367024
2014-03-09 13:05:37.759,-1.1109096,7.2783732,4.711789
