Date,Light(lux)
2014-03-09 13:05:33.485,10240.0
2014-03-09 13:05:41.912,2600.0
2014-03-09 13:05:42.082,1280.0
2014-03-09 13:05:42.434,320.0
2014-03-09 13:05:42.611,1280.0
2014-03-09 13:05:42.955,10240.0
2014-03-09 13:05:43.128,2600.0
2014-03-09 13:05:43.303,1280.0
2014-03-09 13:05:44.361,320.0
2014-03-09 13:05:45.920,640.0
2014-03-09 13:05:46.801,1280.0
2014-03-09 13:05:47.142,2600.0
2014-03-09 13:05:47.314,10240.0
2014-03-09 13:05:47.492,1280.0
2014-03-09 13:05:47.841,10240.0
2014-03-09 13:05:48.544,2600.0
2014-03-09 13:05:48.722,1280.0
2014-03-09 13:05:49.235,2600.0
2014-03-09 13:05:49.418,10240.0
2014-03-09 13:05:50.283,2600.0
2014-03-09 13:05:50.469,10240.0
2014-03-09 13:05:50.809,2600.0
2014-03-09 13:05:50.980,1280.0
2014-03-09 13:05:52.204,2600.0
2014-03-09 13:05:52.559,1280.0
2014-03-09 13:05:53.945,2600.0
2014-03-09 13:05:54.295,1280.0
2014-03-09 13:05:54.829,2600.0
2014-03-09 13:05:55.168,1280.0
2014-03-09 13:05:56.571,640.0
2014-03-09 13:05:56.752,1280.0
2014-03-09 13:05:57.793,10240.0
2014-03-09 13:05:58.134,2600.0
2014-03-09 13:05:58.312,1280.0
2014-03-09 13:05:58.493,10240.0
2014-03-09 13:05:59.189,2600.0
2014-03-09 13:05:59.355,640.0
2014-03-09 13:05:59.530,1280.0
2014-03-09 13:05:59.711,10240.0
2014-03-09 13:06:00.227,1280.0
2014-03-09 13:06:00.752,10240.0
2014-03-09 13:06:00.931,320.0
2014-03-09 13:06:01.275,2600.0
2014-03-09 13:06:01.622,10240.0
2014-03-09 13:06:03.543,1280.0
2014-03-09 13:06:03.722,2600.0
2014-03-09 13:06:03.891,1280.0
2014-03-09 13:06:04.241,2600.0
2014-03-09 13:06:04.763,10240.0
2014-03-09 13:06:05.317,2600.0
2014-03-09 13:06:05.480,320.0
2014-03-09 13:06:05.642,1280.0
2014-03-09 13:06:05.819,2600.0
2014-03-09 13:06:05.984,320.0
2014-03-09 13:06:06.164,1280.0
2014-03-09 13:06:06.510,2600.0
2014-03-09 13:06:06.856,1280.0
2014-03-09 13:06:07.203,2600.0
2014-03-09 13:06:07.752,640.0
2014-03-09 13:06:07.901,1280.0
2014-03-09 13:06:08.075,2600.0
2014-03-09 13:06:08.426,1280.0
2014-03-09 13:06:08.950,2600.0
2014-03-09 13:06:10.341,10240.0
2014-03-09 13:06:10.701,2600.0
2014-03-09 13:06:10.865,10240.0
2014-03-09 13:06:11.219,1280.0
2014-03-09 13:06:11.401,2600.0
2014-03-09 13:06:11.563,1280.0
2014-03-09 13:06:11.911,2600.0
2014-03-09 13:06:12.087,1280.0
2014-03-09 13:06:12.443,640.0
2014-03-09 13:06:12.622,1280.0
2014-03-09 13:06:12.784,640.0
2014-03-09 13:06:14.006,320.0
2014-03-09 13:06:14.181,640.0
2014-03-09 13:06:14.541,1280.0
2014-03-09 13:06:15.053,2600.0
2014-03-09 13:06:15.405,1280.0
2014-03-09 13:06:15.591,2600.0
2014-03-09 13:06:16.446,1280.0
2014-03-09 13:06:16.630,2600.0
2014-03-09 13:06:16.795,10240.0
2014-03-09 13:06:16.969,1280.0
2014-03-09 13:06:17.323,2600.0
2014-03-09 13:06:18.016,10240.0
