Date,x(m/s^2),y(m/s^2),z(m/s^2)
2014-03-09 13:05:33.600,-3.5084548,1.7237114,8.993885
2014-03-09 13:05:33.619,-3.3628767,1.8348153,9.027453
2014-03-09 13:05:33.641,-3.2813044,1.891023,9.045853
2014-03-09 13:05:33.658,-3.201023,1.9206115,9.0683565
2014-03-09 13:05:33.681,-3.13244,1.9367341,9.088855
2014-03-09 13:05:33.698,-3.053999,1.9040319,9.122399
2014-03-09 13:05:33.720,-2.9920974,1.8471189,9.154555
2014-03-09 13:05:33.739,-2.948833,1.7843496,9.181006
2014-03-09 13:05:33.759,-2.9090345,1.7585585,9.198661
2014-03-09 13:05:33.781,-2.8396199,1.7771015,9.21677
2014-03-09 13:05:33.800,-2.7670097,1.8098683,9.232467
2014-03-09 13:05:33.819,-2.6923237,1.8590052,9.244777
2014-03-09 13:05:33.839,-2.6183197,1.9000112,9.257685
2014-03-09 13:05:33.859,-2.5669568,1.8970981,9.272655
2014-03-09 13:05:33.879,-2.5303845,1.8684046,9.288521
2014-03-09 13:05:33.912,-2.4626865,1.8445517,9.311455
2014-03-09 13:05:33.929,-2.420607,1.8665391,9.318106
2014-03-09 13:05:33.949,-2.3687706,1.8889802,9.3269005
2014-03-09 13:05:33.970,-2.3205867,1.8913492,9.338525
2014-03-09 13:05:33.990,-2.2983046,1.8807412,9.346175
2014-03-09 13:05:34.014,-2.261099,1.8629818,9.358799
2014-03-09 13:05:34.033,-2.2181377,1.846286,9.372379
2014-03-09 13:05:34.050,-2.1806748,1.8393227,9.382534
2014-03-09 13:05:34.070,-2.1614206,1.8448044,9.385913
2014-03-09 13:05:34.088,-2.1440089,1.8420669,9.390443
2014-03-09 13:05:34.109,-2.1283433,1.816004,9.399079
2014-03-09 13:05:34.129,-2.1084065,1.7734411,9.41169
2014-03-09 13:05:34.149,-2.0787075,1.7220113,9.427834
2014-03-09 13:05:34.168,-2.0555725,1.667125,9.442759
2014-03-09 13:05:34.190,-2.0324452,1.6112155,9.45746
2014-03-09 13:05:34.212,-2.008105,1.532072,9.475792
2014-03-09 13:05:34.231,-1.9908772,1.4619515,9.490496
2014-03-09 13:05:34.251,-1.9648411,1.395035,9.505982
2014-03-09 13:05:34.268,-1.9391345,1.3560609,9.516893
2014-03-09 13:05:34.290,-1.9115521,1.3259724,9.526709
2014-03-09 13:05:34.310,-1.8849508,1.2695926,9.53968
2014-03-09 13:05:34.331,-1.8709015,1.2215372,9.548714
2014-03-09 13:05:34.369,-1.8613577,1.1798753,9.555817
2014-03-09 13:05:34.393,-1.8521804,1.166885,9.559194
2014-03-09 13:05:34.413,-1.8512317,1.1532749,9.561029
2014-03-09 13:05:34.417,-1.8510345,1.1471409,9.561806
2014-03-09 13:05:34.428,-1.848872,1.1493318,9.561961
2014-03-09 13:05:34.449,-1.8439071,1.1691232,9.560519
2014-03-09 13:05:34.468,-1.8284974,1.1800563,9.562137
2014-03-09 13:05:34.488,-1.8109189,1.1895757,9.564302
2014-03-09 13:05:34.514,-1.8044991,1.203852,9.563728
2014-03-09 13:05:34.530,-1.8028342,1.2105731,9.563195
2014-03-09 13:05:34.551,-1.7938933,1.2105008,9.564885
2014-03-09 13:05:34.570,-1.7859951,1.2185497,9.565341
2014-03-09 13:05:34.629,-1.7693104,1.2479718,9.564647
2014-03-09 13:05:34.646,-1.7626874,1.2658529,9.563521
2014-03-09 13:05:34.663,-1.7539339,1.2911073,9.561754
2014-03-09 13:05:34.669,-1.7506206,1.3031951,9.560723
2014-03-09 13:05:34.673,-1.7446144,1.3070903,9.561288
2014-03-09 13:05:34.692,-1.7274765,1.3259387,9.561805
2014-03-09 13:05:34.708,-1.710859,1.3564299,9.5605135
2014-03-09 13:05:34.729,-1.6933794,1.4045329,9.556681
2014-03-09 13:05:34.749,-1.6739398,1.4466999,9.553815
2014-03-09 13:05:34.768,-1.6562877,1.4764253,9.552343
2014-03-09 13:05:34.788,-1.644116,1.4987928,9.550963
2014-03-09 13:05:34.809,-1.6323826,1.5274763,9.54843
2014-03-09 13:05:34.829,-1.6197731,1.5519019,9.5466385
2014-03-09 13:05:34.854,-1.5998497,1.5785873,9.545623
2014-03-09 13:05:34.870,-1.5860523,1.6038524,9.5437155
2014-03-09 13:05:34.890,-1.5740095,1.6366409,9.540141
2014-03-09 13:05:34.910,-1.573016,1.6578226,9.536647
2014-03-09 13:05:34.930,-1.5716566,1.6657474,9.535489
2014-03-09 13:05:34.951,-1.5581057,1.6715728,9.536695
2014-03-09 13:05:34.970,-1.5393484,1.6933026,9.535907
